No,Namespace,Variable,Bramford Primary School - 139437,Thorns Primary School - 103787,St George and St Teresa Catholic Primary School - 104101,St George and St Teresa Catholic Primary School - 148088,Rushall Primary School - 104196,Field View Primary School - 141775,The Rowan School - 144374,The Old Park School - 103880,Holy Trinity Catholic Primary School - 104378,Dorridge Primary School - 104045,Greenfield Primary School - 104216,Milking Bank Primary School - 103834,Brierley Hill Primary School - 103776,Russells Hall Primary School - 103813,Christ Church CofE Primary School - 104220,Lodge Farm Primary School - 142765,St Giles Church of England Primary School - 104226,Goldsmith Primary Academy - 138591,Withymoor Primary School - 103809,Hurst Hill Primary School - 143537,St Francis Catholic Primary School - 104239,Barcroft Primary School - 135081,Manor Primary School - 141858,Castle School - 104269,Old Hall School - 104274,Phoenix Academy - 143382,Hob Green Primary School - 143196,Leamore Primary School - 104157,Woodsetton School - 103879,Sunshine Infant and Nursery School - 104145,Villiers Primary School - 145715,Roberts Primary School - 103821,Brockmoor Primary School - 103777,Rosedale Church of England C Infant School - 104225,Short Heath Junior School - 104188,Shustoke CofE Primary School - 125684,The King Alfred School - 148564,Rufford Primary School - 148685,Rufford Primary School - 103803,Castlefort Junior Mixed and Infant School - 104204,Blakenall Heath Junior School - 104144,St Mark's CofE Primary School - 103836,Arden - 136333,Thorns Collegiate Academy - 143818,Ormiston SWB Academy - 145008,Bow Street School - 142603,Willenhall E-ACT Academy - 137706,Beacon Hill Academy - 137705,Moseley Park - 138098,Ormiston Shelfield Community Academy - 135769,National state-funded primary,National state-funded secondary and 16 to 18,Description
2119,KS5_19,TALLPPEGRD_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,Dist+,Dist+,,Dist-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2120,KS5_19,TALLPUP_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,1,,,,NE,NE,,38342,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2121,KS5_19,TALLPUP_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2122,KS5_19,TALLPPE_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,SUPP,,,,NE,NE,,5.77,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2123,KS5_19,TALLPPE_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,5.75,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2124,KS5_19,TALLPPEGRD_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,SUPP,,,,NE,NE,,L2Merit-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2125,KS5_19,TALLPPEGRD_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,L2Merit-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2126,KS5_19,T_AIMS_TLEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,6,,,,11,NE,,14177,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2127,KS5_19,T_AIMS_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,22,23,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2128,KS5_19,CA_SCORE_TLEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,-0.03,,,,0.06,NE,,0.00,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2129,KS5_19,CA_SCORE_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,1.01,0.68,,0,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2130,KS5_19,T_AIMS_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,,NE,NE,,19325,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2131,KS5_19,T_AIMS_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2132,KS5_19,CA_SCORE_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,,NE,NE,,0.00,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2133,KS5_19,CA_SCORE_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,0,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2134,KS5_19,T_AIMS_CA_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2135,KS5_19,T_AIMS_CA_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2136,KS5_19,CA_SCORE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2137,KS5_19,CA_SCORE_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2138,KS5_19,T_SCOPEEX_E_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,8,,,,1,7,,113154,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2139,KS5_19,T_SCOPEEX_E_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,12,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2140,KS5_19,PROGEX_E_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,0.16,,,,SUPP,0.50,,0.06,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2141,KS5_19,PROGEX_E_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,0.5,,-0.02,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2142,KS5_19,T_SCOPEEX_M_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,11,,,,2,10,,143446,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2143,KS5_19,T_SCOPEEX_M_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,1,14,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2144,KS5_19,PROGEX_M_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,-0.05,,,,SUPP,0.05,,0.05,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2145,KS5_19,PROGEX_M_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,SUPP,0.21,,-0.01,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2146,KS5_19,ENTRIES_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,87,,,,66,127,,812907,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2147,KS5_19,ENTRIES_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,,NA,,,,52,141,,943502,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2148,KS5_19,VA_INS_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,-0.24,,,,-0.48,-0.17,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2149,KS5_19,VA_INS_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,NA,,,,-0.55,-0.16,,-0.01,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2150,KS5_19,PROGRESS_BAND_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,4,3,,NA,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2151,KS5_19,UCI_INS_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,-0.01,,,,-0.22,0.02,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2152,KS5_19,UCI_INS_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,NA,,,,-0.24,0.03,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2153,KS5_19,LCI_INS_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,,-0.46,,,,-0.74,-0.36,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2154,KS5_19,LCI_INS_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NA,,,,-0.86,-0.34,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2155,KS5_19,ENTRIES_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,,87,,,,66,127,,858975,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2156,KS5_19,ENTRIES_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,NA,,,,52,141,,984387,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2157,KS5_19,VA_INS_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,-0.24,,,,-0.48,-0.17,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2158,KS5_19,VA_INS_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,NA,,,,-0.55,-0.16,,-0.01,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2159,KS5_19,PROGRESS_BAND_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,4,3,,NA,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2160,KS5_19,UCI_INS_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,-0.01,,,,-0.22,0.02,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2161,KS5_19,UCI_INS_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,NA,,,,-0.24,0.03,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2162,KS5_19,LCI_INS_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,,-0.46,,,,-0.74,-0.36,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2163,KS5_19,LCI_INS_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,NA,,,,-0.86,-0.34,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2164,KS5_19,ENTRIES_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,20,,,,36,29,,55447,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2165,KS5_19,ENTRIES_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NA,,,,34,69,,141231,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2166,KS5_19,VA_INS_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,0.67,,,,-0.14,0.13,,0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2167,KS5_19,VA_INS_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NA,,,,-0.01,0.22,,0.00,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2168,KS5_19,PROGRESS_BAND_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,1,,,,3,3,,NA,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2169,KS5_19,UCI_INS_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,1.04,,,,0.15,0.43,,0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2170,KS5_19,UCI_INS_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NA,,,,0.39,0.51,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2171,KS5_19,LCI_INS_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,0.31,,,,-0.44,-0.18,,0,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2172,KS5_19,LCI_INS_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NA,,,,-0.41,-0.07,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2173,KS5_19,T_INSCOPE_ALEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,30,,,,9,52,,258008,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2174,KS5_19,T_INSCOPE_ALEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,5,39,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2175,KS5_19,PT_RETAINED_ALEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4%,,100.0%,,,,55.6%,92.3%,,92.5%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2176,KS5_19,PT_RETAINED_ALEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9%,,,,,,SUPP,94.9%,,95.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2177,KS5_19,T_INSCOPE_ACAD_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,30,,,,9,52,,260338,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2178,KS5_19,T_INSCOPE_ACAD_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,5,39,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2179,KS5_19,PT_RETAINED_ACAD_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4%,,100.0%,,,,55.6%,92.3%,,92.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2180,KS5_19,PT_RETAINED_ACAD_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9%,,,,,,SUPP,94.9%,,95.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2181,KS5_19,T_INSCOPE_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,10,,,,31,6,,30080,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2182,KS5_19,T_INSCOPE_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,26,32,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2183,KS5_19,PT_RETAINED_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,100.0%,,,,100.0%,100.0%,,90.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2184,KS5_19,PT_RETAINED_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,100.0%,84.4%,,88.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2185,KS5_19,T_INSCOPE_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,2,,,,NE,NE,,12153,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2186,KS5_19,T_INSCOPE_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,7,5,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2187,KS5_19,PT_RETAINED_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,SUPP,,,,NE,NE,,90.6%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2188,KS5_19,PT_RETAINED_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,85.7%,SUPP,,90.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2189,KS5_19,T_INSCOPE_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,,NE,NE,,41142,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2190,KS5_19,T_INSCOPE_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2191,KS5_19,PT_RETAINED_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,,NE,NE,,88.3%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2192,KS5_19,PT_RETAINED_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,86.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2193,KS5_19,TALLPUP_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,22,,,,27,16,,139106,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2194,KS5_19,TALLPUP_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,16,22,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2195,KS5_19,TALLPUP_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,14,,,,16,8,,40882,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2196,KS5_19,TALLPUP_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,8,8,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2197,KS5_19,TALLPPE_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,15.09,,,,23.27,25.53,,27.86,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2198,KS5_19,TALLPPE_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,26.25,20,,27.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2199,KS5_19,TALLPPEGRD_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,D-,,,,D+,C-,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2200,KS5_19,TALLPPEGRD_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-,,,,,,C-,D,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2201,KS5_19,TALLPUP_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,14,,,,16,8,,41606,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2202,KS5_19,TALLPUP_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,8,8,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2203,KS5_19,TALLPPE_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,15.09,,,,23.27,25.53,,27.96,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2204,KS5_19,TALLPPE_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,26.25,20,,27.19,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2205,KS5_19,TALLPPEGRD_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,D-,,,,D+,C-,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2206,KS5_19,TALLPPEGRD_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-,,,,,,C-,D,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2207,KS5_19,TALLPUP_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,8,,,,19,6,,10491,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2208,KS5_19,TALLPUP_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,8,15,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2209,KS5_19,TALLPPE_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,30.38,,,,34.38,21.47,,27.27,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2210,KS5_19,TALLPPE_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,45,35.6,,33.83,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2211,KS5_19,TALLPPEGRD_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,Dist-,,,,Dist,Merit-,,Merit+,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2212,KS5_19,TALLPPEGRD_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,Dist*-,Dist,,Dist,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2213,KS5_19,TALLPUP_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,SUPP,,,,SUPP,NE,,2985,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2214,KS5_19,TALLPUP_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,6,8,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2215,KS5_19,TALLPPE_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,SUPP,,,,SUPP,NE,,26.26,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2216,KS5_19,TALLPPE_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,46.25,39.38,,30.93,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2217,KS5_19,TALLPPEGRD_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,SUPP,,,,SUPP,NE,,Merit,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2218,KS5_19,TALLPPEGRD_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,Dist*-,Dist+,,Dist-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2219,KS5_19,TALLPUP_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,,NE,NE,,12343,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2220,KS5_19,TALLPUP_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2221,KS5_19,TALLPPE_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,,NE,NE,,5.72,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
