No,Namespace,Variable,Coleshill Heath School - 104070,Park Hall Infant Academy - 136303,Eversfield Preparatory School - 104122,Turves Green Primary School - 144390,The Westminster School - 132233,Holy Cross Catholic Primary School - 140525,The Meadows Primary School - 103296,Our Lady of the Wayside Catholic Primary School - 104098,Our Lady of the Wayside Catholic Primary School - 148085,Oakham Primary School - 103950,Manor Way Primary Academy - 142355,"St Anne's Catholic Primary School, Streetly - 104241",Ruckleigh School - 104127,Coppice Junior School - 104041,Hollyfield Primary School - 131672,Water Orton Primary School - 125620,St John Fisher Catholic Primary School - 103452,St John Fisher Catholic Primary School - 148266,Blackwood School - 148364,Blackwood School - 104211,Cranmore Infant School - 104042,Tenterfields Primary Academy - 143195,Tividale Community Primary School - 133261,Manor Primary School - 104210,Park Hill Primary School - 103910,Mesty Croft Primary - 137972,Widney Junior School - 104054,Tudor Grange Primary Academy Yew Tree - 147364,Yew Tree Primary School - 104058,Dickens Heath Community Primary School - 133720,St Augustine's Catholic Primary School - 148087,St Augustine's Catholic Primary School - 104100,St Joseph's Catholic Primary School - 140528,Brickhouse Primary School - 103936,Springfield Primary School - 132140,Woodrush High School - 136924,Turves Green Boys' School - 103500,Turves Green Boys' School - 148521,Bishop Vesey's Grammar School - 137988,Alderbrook School - 136994,New Ways School - 145417,Fairfax - 136908,John Willmott School - 144721,John Willmott School - 103522,Joseph Leckie Academy - 137830,"Tudor Grange Academy, Solihull - 136310",St Peter's Catholic School - 148094,St Peter's Catholic School - 104119,Solihull College & University Centre - 130481,Halesowen College - 130476,National state-funded primary,National state-funded secondary and 16 to 18,Description
2116,KS5_19,TALLPPE_TLEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,SUPP,28.50,NE,,NE,,21.50,,28.12,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2117,KS5_19,TALLPPE_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,NE,NE,,NE,,39.29,35.58,NE,,NE,33.28,31.55,,32.25,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2118,KS5_19,TALLPPEGRD_TLEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,SUPP,Merit+,NE,,NE,,Merit-,,Merit+,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2119,KS5_19,TALLPPEGRD_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,NE,NE,,NE,,Dist+,Dist,NE,,NE,Dist-,Dist-,,Dist-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2120,KS5_19,TALLPUP_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,4,NE,,NE,,266,,38342,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2121,KS5_19,TALLPUP_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,289,150,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2122,KS5_19,TALLPPE_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,SUPP,NE,,NE,,5.83,,5.77,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2123,KS5_19,TALLPPE_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,5.91,5.7,,5.75,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2124,KS5_19,TALLPPEGRD_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,SUPP,NE,,NE,,L2Merit-,,L2Merit-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2125,KS5_19,TALLPPEGRD_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,L2Merit,L2Merit-,,L2Merit-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2126,KS5_19,T_AIMS_TLEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,5,9,NE,,NE,,148,,14177,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2127,KS5_19,T_AIMS_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,NE,NE,,NE,,7,11,NE,,NE,384,337,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2128,KS5_19,CA_SCORE_TLEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,SUPP,0.27,NE,,NE,,-0.12,,0.00,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2129,KS5_19,CA_SCORE_TLEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,NE,NE,,NE,,0.37,0.55,NE,,NE,0.19,0.02,,0,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2130,KS5_19,T_AIMS_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,7,NE,,NE,,169,,19325,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2131,KS5_19,T_AIMS_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,76,101,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2132,KS5_19,CA_SCORE_TECHCERT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,1.04,NE,,NE,,0.14,,0.00,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2133,KS5_19,CA_SCORE_TECHCERT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,0.05,0.08,,0,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2134,KS5_19,T_AIMS_CA_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2135,KS5_19,T_AIMS_CA_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2136,KS5_19,CA_SCORE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2137,KS5_19,CA_SCORE_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2138,KS5_19,T_SCOPEEX_E_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,2,,8,28,NE,,NE,,642,,113154,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2139,KS5_19,T_SCOPEEX_E_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,2,,11,45,1,,2,745,469,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2140,KS5_19,PROGEX_E_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,SUPP,,0.38,0.54,NE,,NE,,-0.01,,0.06,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2141,KS5_19,PROGEX_E_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,SUPP,,0.73,0.69,SUPP,,SUPP,-0.03,-0.21,,-0.02,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2142,KS5_19,T_SCOPEEX_M_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,2,,13,32,NE,,4,,890,,143446,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2143,KS5_19,T_SCOPEEX_M_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,NE,NE,,1,,23,20,NE,,4,921,638,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2144,KS5_19,PROGEX_M_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,SUPP,,0.19,0.75,NE,,SUPP,,0.03,,0.05,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2145,KS5_19,PROGEX_M_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,NE,NE,,SUPP,,0.22,0,NE,,SUPP,-0.28,-0.16,,-0.01,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2146,KS5_19,ENTRIES_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,759,209,,606,,78,214,457,,332,,1372,,812907,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2147,KS5_19,ENTRIES_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,762,203,,600,,171,216,381,,464,9,1295,,943502,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2148,KS5_19,VA_INS_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,,,0.13,-0.25,,0.08,,-0.28,-0.12,0.16,,-0.20,,-0.10,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2149,KS5_19,VA_INS_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,,,-0.17,-0.32,,0.09,,0.06,0,0.22,,-0.22,-1.06,-0.11,,-0.01,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2150,KS5_19,PROGRESS_BAND_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,4,,3,,4,3,2,,4,5,4,,NA,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2151,KS5_19,UCI_INS_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,0.21,-0.10,,0.17,,-0.03,0.03,0.26,,-0.09,,-0.04,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2152,KS5_19,UCI_INS_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,,,-0.08,-0.17,,0.18,,0.24,0.16,0.33,,-0.12,-0.25,-0.04,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2153,KS5_19,LCI_INS_ALEV_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,,,0.04,-0.40,,-0.01,,-0.53,-0.27,0.06,,-0.32,,-0.16,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2154,KS5_19,LCI_INS_ALEV_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,,,-0.25,-0.47,,0,,-0.11,-0.15,0.11,,-0.32,-1.86,-0.17,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2155,KS5_19,ENTRIES_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,828,216,,606,,81,223,529,,374,,1479,,858975,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2156,KS5_19,ENTRIES_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,821,206,,600,,187,231,433,,525,9,1351,,984387,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2157,KS5_19,VA_INS_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,,,0.12,-0.25,,0.08,,-0.28,-0.13,0.12,,-0.20,,-0.10,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2158,KS5_19,VA_INS_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30,,,-0.17,-0.32,,0.09,,0.06,-0.01,0.20,,-0.23,-1.06,-0.11,,-0.01,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2159,KS5_19,PROGRESS_BAND_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,4,,3,,4,3,2,,4,5,4,,NA,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2160,KS5_19,UCI_INS_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,0.20,-0.10,,0.17,,-0.04,0.02,0.22,,-0.08,,-0.04,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2161,KS5_19,UCI_INS_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.09,-0.17,,0.18,,0.23,0.14,0.31,,-0.13,-0.25,-0.05,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2162,KS5_19,LCI_INS_ACAD_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,,,0.04,-0.41,,-0.01,,-0.53,-0.28,0.03,,-0.31,,-0.15,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2163,KS5_19,LCI_INS_ACAD_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,,,-0.25,-0.47,,0.00,,-0.11,-0.17,0.10,,-0.33,-1.86,-0.17,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2164,KS5_19,ENTRIES_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,NE,NE,,NE,,13,54,NE,,50,,141,,55447,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2165,KS5_19,ENTRIES_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,NE,NE,,NE,,24,79,NE,,9,416,487,,141231,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2166,KS5_19,VA_INS_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,,,NE,NE,,NE,,-0.02,0.50,NE,,-0.23,,0.12,,0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2167,KS5_19,VA_INS_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,NE,NE,,NE,,0.83,0.01,NE,,-0.95,-0.31,-0.53,,0.00,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2168,KS5_19,PROGRESS_BAND_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,NA,NA,,NA,,3,2,NA,,4,5,3,,NA,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2169,KS5_19,UCI_INS_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,NE,NE,,NE,,0.44,0.73,NE,,-0.01,,0.28,,0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2170,KS5_19,UCI_INS_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,NE,NE,,NE,,1.32,0.28,NE,,-0.15,-0.20,-0.43,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2171,KS5_19,LCI_INS_AGEN_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,,,NE,NE,,NE,,-0.49,0.27,NE,,-0.45,,-0.03,,0,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2172,KS5_19,LCI_INS_AGEN_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,,,NE,NE,,NE,,0.33,-0.26,NE,,-1.75,-0.42,-0.64,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2173,KS5_19,T_INSCOPE_ALEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,196,64,,136,,27,68,154,,106,,466,,258008,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2174,KS5_19,T_INSCOPE_ALEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,189,54,,117,,63,69,124,,131,NE,357,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2175,KS5_19,PT_RETAINED_ALEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0%,,,99.5%,90.6%,,93.4%,,85.2%,80.9%,98.1%,,98.1%,,91.8%,,92.5%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2176,KS5_19,PT_RETAINED_ALEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6%,,,98.9%,100.0%,,96.6%,,92.1%,98.6%,99.2%,,99.2%,NE,89.9%,,95.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2177,KS5_19,T_INSCOPE_ACAD_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,196,64,,136,,27,68,154,,106,,468,,260338,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2178,KS5_19,T_INSCOPE_ACAD_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,189,54,,117,,63,69,124,,131,NE,357,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2179,KS5_19,PT_RETAINED_ACAD_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0%,,,99.5%,90.6%,,93.4%,,85.2%,80.9%,98.1%,,98.1%,,91.9%,,92.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2180,KS5_19,PT_RETAINED_ACAD_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6%,,,98.9%,100.0%,,96.6%,,92.1%,98.6%,99.2%,,99.2%,NE,89.9%,,95.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2181,KS5_19,T_INSCOPE_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,NE,NE,,NE,,5,37,NE,,31,,121,,30080,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2182,KS5_19,T_INSCOPE_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,NE,NE,,NE,,9,48,NE,,10,477,485,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2183,KS5_19,PT_RETAINED_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,,,NE,NE,,NE,,SUPP,100.0%,NE,,96.8%,,90.1%,,90.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2184,KS5_19,PT_RETAINED_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,,,NE,NE,,NE,,44.4%,85.4%,NE,,80.0%,92.0%,87.4%,,88.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2185,KS5_19,T_INSCOPE_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,14,NE,,NE,,122,,12153,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2186,KS5_19,T_INSCOPE_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,NE,NE,,NE,,3,10,NE,,NE,375,354,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2187,KS5_19,PT_RETAINED_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,92.9%,NE,,NE,,93.4%,,90.6%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2188,KS5_19,PT_RETAINED_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,NE,NE,,NE,,SUPP,100.0%,NE,,NE,94.1%,94.9%,,90.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2189,KS5_19,T_INSCOPE_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,,267,,41142,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2190,KS5_19,T_INSCOPE_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,295,165,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2191,KS5_19,PT_RETAINED_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,,88.0%,,88.3%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2192,KS5_19,PT_RETAINED_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,NE,NE,NE,,NE,91.2%,84.2%,,86.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2193,KS5_19,TALLPUP_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,28,SUPP,,14,,18,67,SUPP,,10,,746,,139106,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2194,KS5_19,TALLPUP_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,14,7,,23,,30,56,SUPP,,8,760,594,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2195,KS5_19,TALLPUP_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,28,SUPP,,14,,9,42,SUPP,,9,,123,,40882,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2196,KS5_19,TALLPUP_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,14,7,,22,,23,28,SUPP,,8,NE,102,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2197,KS5_19,TALLPPE_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,40.11,SUPP,,27.70,,15.81,21.76,SUPP,,26.19,,18.07,,27.86,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2198,KS5_19,TALLPPE_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42,,,43.16,25.22,,23.83,,23.41,22.27,SUPP,,23.81,NE,20.62,,27.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2199,KS5_19,TALLPPEGRD_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,B,SUPP,,C-,,D-,D+,SUPP,,C-,,D-,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2200,KS5_19,TALLPPEGRD_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,B+,C-,,D+,,D+,D+,SUPP,,D+,NE,D,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2201,KS5_19,TALLPUP_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,28,SUPP,,14,,9,43,SUPP,,9,,123,,41606,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2202,KS5_19,TALLPUP_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,14,7,,22,,23,28,SUPP,,8,NE,102,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2203,KS5_19,TALLPPE_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,40.20,SUPP,,27.70,,15.51,21.80,SUPP,,26.38,,18.37,,27.96,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2204,KS5_19,TALLPPE_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.29,,,43.24,25.22,,23.83,,23.5,22.22,SUPP,,24.32,NE,20.78,,27.19,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2205,KS5_19,TALLPPEGRD_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,B,SUPP,,C-,,D-,D+,SUPP,,C-,,D,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2206,KS5_19,TALLPPEGRD_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-,,,B+,C-,,D+,,D+,D+,SUPP,,D+,NE,D,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2207,KS5_19,TALLPUP_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,NE,NE,,NE,,SUPP,19,NE,,SUPP,,46,,10491,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2208,KS5_19,TALLPUP_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,NE,NE,,NE,,9,22,NE,,SUPP,143,129,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
