No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
1899,KS5_19,URN,,,,,,141242,,,,,,,,,,,,,,,,,,103576,,,,,,,,,,,,,,103514,,139746,,,,140863,,103541,,,143038,,,,Unique Reference Number of establishment
1900,KS5_19,PCON_CODE,,,,,,E14000568,,,,,,,,,,,,,,,,,,E14000561,,,,,,,,,,,,,,E14000567,,E14000566,,,,E14000565,,E14000568,,,E14001029,,,,School parliamentary constituency code
1901,KS5_19,PCON_NAME,,,,,,"Birmingham, Yardley",,,,,,,,,,,,,,,,,,"Birmingham, Erdington",,,,,,,,,,,,,,"Birmingham, Selly Oak",,"Birmingham, Perry Barr",,,,"Birmingham, Northfield",,"Birmingham, Yardley",,,West Bromwich East,,,,School parliamentary constituency name
1902,KS5_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archbishop Ilsley Catholic School,,,,,,,Name of converter academy
1903,KS5_19,SCHNAME,,,,,,Kimichi School,,,,,,,,,,,,,,,,,,Highclare School,,,,,,,,,,,,,,Swanshurst School,,Hamstead Hall Academy,,,,The University of Birmingham School,,Archbishop Ilsley Catholic School,,,Sandwell Valley School,,,,School/college name
1904,KS5_19,ADDRESS1,,,,,,Eastbourne House,,,,,,,,,,,,,,,,,,10 Sutton Road,,,,,,,,,,,,,,Brook Lane,,Craythorne Avenue,,,,Weoley Park Road,,Victoria Road,,,150 Birmingham Road,,,,School/college address (1)
1905,KS5_19,ADDRESS2,,,,,,111 Yardley Road,,,,,,,,,,,,,,,,,,Erdington,,,,,,,,,,,,,,Billesley,,Handsworth Wood,,,,Selly Oak,,Acocks Green,,,West Bromwich,,,,School/college address (2)
1906,KS5_19,ADDRESS3,,,,,,Acocks Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School/college address (3)
1907,KS5_19,TOWN,,,,,,Birmingham,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,,,,,,,,Birmingham,,Birmingham,,,,Birmingham,,Birmingham,,,Sandwell,,,,Town where school/college is located
1908,KS5_19,PCODE,,,,,,B27 6LL,,,,,,,,,,,,,,,,,,B23 6QL,,,,,,,,,,,,,,B13 0TW,,B20 1HL,,,,B29 6QU,,B27 7XY,,,B70 6QT,,,,School/college postcode
1909,KS5_19,TELNUM,,,,,,01216795298,,,,,,,,,,,,,,,,,,01213737400,,,,,,,,,,,,,,01214642400,,01213867510,,,,01217965000,,01217064200,,,01216797522,,,,School/college telephone number 
1910,KS5_19,CONTFLAG,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,,0,,0,,,0,,,,Contingency flag: results significantly affected: 0= not significantly affected; 1= significantly affected
1911,KS5_19,NFTYPE/FESITYPE,,,,,,IND,,,,,,,,,,,,,,,,,,IND,,,,,,,,,,,,,,CY,,ACC,,,,F,,VA,,,IND,,,,School type/FE college type
1912,KS5_19,RELDENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,Roman Catholic,,,,,,,Religious character 
1913,KS5_19,ADMPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,,NSE,,,,NR,,NSE,,,,,,,Admissions policy
1914,KS5_19,ADMPOL_PT,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,OTHER NON SEL,,OTHER NON SEL,,,,NA,,OTHER NON SEL,,,NA,,,,Admissions policy - new definition from 2019 onwards
1915,KS5_19,GEND1618,,,,,,MIXED,,,,,,,,,,,,,,,,,,MIXED,,,,,,,,,,,,,,MIXED,,MIXED,,,,MIXED,,MIXED,,,MIXED,,,,"Gender of sixth form: girls, boys or mixed"
1916,KS5_19,FEEDER,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,,0,,0,,,0,,,,Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:0= not a feeder school/college; 1= feeder school/college
1917,KS5_19,AGERANGE,,,,,,9 to 19,,,,,,,,,,,,,,,,,,2 to 19,,,,,,,,,,,,,,11 to 19,,11 to 18,,,,11 to 19,,11 to 18,,,11 to 19,,,,Age range
1918,KS5_19,ICLOSE,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,,0,,0,,,0,,,,Closed school/college flag: 0= open; 1= closed
1919,KS5_19,TABKS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school is published in the primary school (Key Stage 2) performance tables:0= No; 1= Yes
1920,KS5_19,TAB15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 0= No; 1= Yes
1921,KS5_19,EXAMCONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college has confirmed their results: blank/null= confirmed; R= not confirmed
1922,KS5_19,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dummy field
1923,KS5_19,TPUP1618,,,,,,4,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,302,,183,,,,222,,118,,,20,,,,Number of 16-18 year old students in sixth form
1924,KS5_19,TALLPUP_1618,,,,,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,144,,114,,,,120,,78,,,2,,,550933,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1925,KS5_19,TALLPUP_ALEV_1618,,,,,,NE,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,98,,88,,,,120,,61,,,NE,,,247995,Number of students at the end of 16-18 study who entered for at least one AS or A level qualification
1926,KS5_19,TALLPPE_ALEV_1618,,,,,,NE,,,,,,,,,,,,,,,,,,29.65,,,,,,,,,,,,,,32.49,,23.33,,,,31.17,,28.94,,,NE,,,32.87,Average point score per A level entry
1927,KS5_19,TALLPPEGRD_ALEV_1618,,,,,,NE,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C+,,D+,,,,C,,C,,,NE,,,C+,Average point score per A level entry expressed as a grade
1928,KS5_19,TINCLUDE_B3,,,,,,NE,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,55,,50,,,,93,,41,,,NE,,,189802,Number of students included in the best 3 A levels measure
1929,KS5_19,TB3PTSE,,,,,,NE,,,,,,,,,,,,,,,,,,32.08,,,,,,,,,,,,,,33.27,,23.80,,,,34.73,,30.08,,,NE,,,32.89,Average point score in best 3 A level entries
1930,KS5_19,TB3PTSE_GRD,,,,,,NE,,,,,,,,,,,,,,,,,,C+,,,,,,,,,,,,,,C+,,D+,,,,C+,,C,,,NE,,,C+,Average point score in best 3 A level entries expressed as a grade
1931,KS5_19,TINCLUDE_AAB_2FAC,,,,,,NE,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,55,,50,,,,93,,41,,,NE,,,189788,Number of students included in AAB in 2 facilitating subjects measure
1932,KS5_19,PTAAB_2FAC,,,,,,NE,,,,,,,,,,,,,,,,,,12.5%,,,,,,,,,,,,,,1.8%,,4.0%,,,,14.0%,,0.0%,,,NE,,,14.1%,"Percentage of A level students achieving at least three levels at grades AAB or better, at least two of which are in facilitating subjects"
1933,KS5_19,TALLPUP_ACAD_1618,,,,,,NE,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,105,,88,,,,120,,66,,,NE,,,252640,Number of students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1934,KS5_19,TALLPPE_ACAD_1618,,,,,,NE,,,,,,,,,,,,,,,,,,29.97,,,,,,,,,,,,,,32.92,,23.33,,,,31.17,,28.83,,,NE,,,33.02,Average point score per academic entry
1935,KS5_19,TALLPPEGRD_ACAD_1618,,,,,,NE,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C+,,D+,,,,C,,C,,,NE,,,C+,Average point score per academic entry expressed as a grade
1936,KS5_19,TALLPUP_AGEN,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,66,,29,,,,NE,,7,,,NE,,,67710,Number of students at the end of 16-18 study who entered for ant least one applied general qualification
1937,KS5_19,TALLPPE_AGEN,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,35.42,,27.35,,,,NE,,35.00,,,NE,,,28.89,Average point score per applied general entry
1938,KS5_19,TALLPPEGRD_AGEN,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,Dist,,Merit+,,,,NE,,Dist,,,NE,,,Merit+,Average point score per applied general entry expressed as a grade
1939,KS5_19,TALLPUP_TLEV,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,11,,NE,,,,NE,,9,,,NE,,,19431,Number of students at the end of 16-18 study who entered for at least one tech level qualification
1940,KS5_19,TALLPPE_TLEV,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,24.55,,NE,,,,NE,,22.78,,,NE,,,28.64,Average point score per tech level entry
1941,KS5_19,TALLPPEGRD_TLEV,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,Merit,,NE,,,,NE,,Merit-,,,NE,,,Merit+,Average point score per tech level entry expressed as a grade
1942,KS5_19,TTECH_BACC,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,0,,NE,,,,NE,,0,,,NE,,,191,"Number of students achieving a TechBacc (ie, a tech level, an extended project qualification and core maths or equivalent maths qualification)"
1943,KS5_19,TALLPUP_TLEVDENOM,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,11,,NE,,,,NE,,9,,,NE,,,131483,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and applied general
1944,KS5_19,TLEV_PER,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,100.0%,,NE,,,,NE,,100.0%,,,NE,,,14.8%,Proportion of level 3 vocational students that are tech level students
1945,KS5_19,TALLPUP_AGENDENOM,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,66,,29,,,,NE,,7,,,NE,,,175067,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and tech levels
1946,KS5_19,AGEN_PER,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,100.0%,,100.0%,,,,NE,,100.0%,,,NE,,,39.1%,Proportion of level 3 vocational students that are applied general students
1947,KS5_19,T_SCOPEEX_E,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,16,,17,,,,NE,,2,,,NE,,,106083,Number of students at the end of 16-18 study included in the English progress measure
1948,KS5_19,PROGEX_E,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,1.01,,1.27,,,,NE,,SUPP,,,NE,,,0.14,Average progress made in English
1949,KS5_19,ENTRY_PER_E,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,100.0%,,100.0%,,,,NE,,100.0%,,,NE,,,82.5%,Proportion of students eligible for English progress measures entered for approved exams
1950,KS5_19,T_SCOPEEX_M,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,37,,17,,,,NE,,8,,,NE,,,140556,Number of students at the end of 16-18 study included in the maths progress measure
1951,KS5_19,PROGEX_M,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,0.46,,0.40,,,,NE,,0.63,,,NE,,,0.09,Average progress made in maths
1952,KS5_19,ENTRY_PER_M,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,100.0%,,SUPP,,,,NE,,100.0%,,,NE,,,85.2%,Proportion of students eligible for maths progress measures entered for approved exams
1953,KS5_19,TALLPUP_SCOPE_L3M,,,,,,NE,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,104,,86,,,,118,,59,,,NE,,,268494,Number of students in scope for level 3 maths measure
1954,KS5_19,L3M_PER,,,,,,NE,,,,,,,,,,,,,,,,,,33.3%,,,,,,,,,,,,,,21.2%,,31.4%,,,,55.1%,,33.9%,,,NE,,,26.7%,Percentage of students in scope for the level 3 maths measure who achieved approved a level 3 maths qualification
1955,KS5_19,T_INSCOPE_ALEV_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,71,,87,,,,116,,59,,,NA,,,239124,Number of students at the end of 16-18 study with an A level core aim
1956,KS5_19,PT_RETAINED_ALEV_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,94.4%,,83.9%,,,,80.2%,,89.8%,,,NA,,,91.3%,Percentage of A level core aims retained
1957,KS5_19,PT_RET_ASSESSED_ALEV,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,94.4%,,81.6%,,,,80.2%,,78.0%,,,NA,,,89.5%,Percentage of A Level core aims retained and assessed
1958,KS5_19,T_INSCOPE_ALEV_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,70,,86,,,,116,,59,,,NA,,,236838,Number of students in scope for returned and retained for a second year where core aim is an A Level
1959,KS5_19,PT_RETAINED_ALEV_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,94.3%,,81.4%,,,,80.2%,,78.0%,,,NA,,,84.7%,Percentage of students who were retained for a second year with an A Level programme core aim
1960,KS5_19,T_INSCOPE_ACAD_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,71,,87,,,,116,,59,,,NA,,,241598,Number of students at the end of 16-18 study with an academic core aim
1961,KS5_19,PT_RETAINED_ACAD_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,94.4%,,83.9%,,,,80.2%,,89.8%,,,NA,,,91.3%,Percentage of academic core aims retained
1962,KS5_19,PT_RET_ASSESSED_ACAD,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,94.4%,,81.6%,,,,80.2%,,78.0%,,,NA,,,89.3%,Percentage of academic core aims retained and assessed
1963,KS5_19,T_INSCOPE_ACAD_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,70,,86,,,,116,,59,,,NA,,,239235,Number of students in scope for returned and retained for a second year where core aim is an academic qualification
1964,KS5_19,PT_RETAINED_ACAD_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,94.3%,,81.4%,,,,80.2%,,78.0%,,,NA,,,84.5%,Percentage of students who were retained for a second year with an academic core aim
1965,KS5_19,T_INSCOPE_AGEN_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,52,,8,,,,NE,,3,,,NA,,,53841,Number of students at the end of 16-18 study with an applied general core aim
1966,KS5_19,PT_RETAINED_AGEN_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,92.3%,,100.0%,,,,NE,,SUPP,,,NA,,,86.5%,Percentage of applied general core aims retained
1967,KS5_19,PT_RET_ASSESSED_AGEN,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,92.3%,,100.0%,,,,NE,,SUPP,,,NA,,,79.3%,Percentage of applied general core aims retained and assessed
1968,KS5_19,T_INSCOPE_AGEN_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,52,,8,,,,NE,,3,,,NA,,,52609,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification
1969,KS5_19,PT_RETAINED_AGEN_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,82.7%,,100.0%,,,,NE,,SUPP,,,NA,,,75.3%,Percentage of students who were retained for a second year with an applied general core aim
1970,KS5_19,T_INSCOPE_TLEV_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,11,,NE,,,,NE,,12,,,NA,,,20447,Number of students at the end of 16-18 study with a tech level core aim
1971,KS5_19,PT_RETAINED_TLEV_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,100.0%,,NE,,,,NE,,83.3%,,,NA,,,87.9%,Percentage of tech level core aims retained
1972,KS5_19,PT_RET_ASSESSED_TLEV,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,100.0%,,NE,,,,NE,,58.3%,,,NA,,,75.7%,Percentage of tech level core aims retained and assessed
1973,KS5_19,T_INSCOPE_TLEV_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,11,,NE,,,,NE,,11,,,NA,,,19538,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification
1974,KS5_19,PT_RETAINED_TLEV_2NDYR,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,100.0%,,NE,,,,NE,,54.5%,,,NA,,,76.3%,Percentage of students who were retained for a second year with a tech level core aim
1975,KS5_19,T_AIMS_TLEV,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,11,,NE,,,,NE,,20,,,NA,,,22634,Number of tech level aims
1976,KS5_19,CA_SCORE_TLEV,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,-0.20,,NE,,,,NE,,-1.70,,,NA,,,0.00,Completion and Attainment score
1977,KS5_19,TALLPUP_TECHCERT,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,NE,,NE,,,,NE,,NE,,,NE,,,5321,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification
1978,KS5_19,TALLPPE_TECHCERT,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,NE,,NE,,,,NE,,NE,,,NE,,,5.75,Average point score per technical certificate entry 
1979,KS5_19,TALLPPEGRD_TECHCERT,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,NE,,NE,,,,NE,,NE,,,NE,,,L2Merit-,Average point score per technical certificate entry expressed as a grade
1980,KS5_19,T_AIMS_TECHCERT,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,NE,,NE,,,,NE,,NE,,,NA,,,7808,Number of technical certificate aims in completion and attainment measure
1981,KS5_19,CA_SCORE_TECHCERT,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,NE,,NE,,,,NE,,NE,,,NA,,,0.00,Technical certificate completion and attainment score
1982,KS5_19,T_INSCOPE_TECHCERT_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,1,,NE,,,,NE,,NE,,,NA,,,7745,Number of students in scope for retention measure where core aim is a tech cert programme
1983,KS5_19,PT_RETAINED_TECHCERT_RET,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,SUPP,,NE,,,,NE,,NE,,,NA,,,87.9%,Percentage of technical certificate core aims retained
1984,KS5_19,PT_RET_ASSESSED_TECHCERT,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,SUPP,,NE,,,,NE,,NE,,,NA,,,55.9%,Percentage of technical certificate core aims retained and assessed
1985,KS5_19,TALLPUP_ANYL2VOC,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,8,,NE,,,,NE,,NE,,,NE,,,89168,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2."
1986,KS5_19,TECHCERT_PER,,,,,,NE,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,0.0%,,NE,,,,NE,,NE,,,NE,,,5.2%,Percentage of level 2 vocational students that are technical certificate students
1987,KS5_19,TALLPUP_1618_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,67,,34,,,,47,,27,,,NA,,,137486,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1988,KS5_19,TALLPUP_ALEV_1618_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,45,,28,,,,47,,21,,,NA,,,38800,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification
1989,KS5_19,TALLPPE_ALEV_1618_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,31.23,,22.16,,,,31.36,,23.90,,,NA,,,28.70,Average point score per A level entry for disadvantaged students
1990,KS5_19,TALLPPEGRD_ALEV_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,C,,D+,,,,C,,D+,,,NA,,,C,Average point score per A level entry for disadvantaged students expressed as a grade
1991,KS5_19,TALLPUP_ACAD_1618_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,47,,28,,,,47,,22,,,NA,,,39704,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1992,KS5_19,TALLPPE_ACAD_1618_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,31.72,,22.16,,,,31.36,,23.84,,,NA,,,28.77,Average point score per academic entry for disadvantaged students
1993,KS5_19,TALLPPEGRD_ACAD_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,C+,,D+,,,,C,,D+,,,NA,,,C,Average point score per academic entry for disadvantaged students expressed as a grade
1994,KS5_19,TALLPUP_AGEN_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,34,,11,,,,NE,,SUPP,,,NA,,,15406,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry
1995,KS5_19,TALLPPE_AGEN_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,36.91,,26.00,,,,NE,,SUPP,,,NA,,,27.72,Average point score per applied general entry for disadvantaged students
1996,KS5_19,TALLPPEGRD_AGEN_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,Dist+,,Merit,,,,NE,,SUPP,,,NA,,,Merit+,Average point score per applied general entry expressed as a grade for disadvantaged students
1997,KS5_19,TALLPUP_TLEV_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,SUPP,,NE,,,,NE,,SUPP,,,NA,,,4615,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry
1998,KS5_19,TALLPPE_TLEV_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,SUPP,,NE,,,,NE,,SUPP,,,NA,,,26.80,Average point score per tech level entry for disadvantaged students
1999,KS5_19,TALLPPEGRD_TLEV_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,SUPP,,NE,,,,NE,,SUPP,,,NA,,,Merit+,Average point score per tech level entry expressed as a grade for disadvantaged students
2000,KS5_19,T_SCOPEEX_E_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,7,,SUPP,,,,NE,,SUPP,,,NA,,,44702,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure
2001,KS5_19,PROGEX_E_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,0.81,,SUPP,,,,NE,,SUPP,,,NA,,,-0.03,Average progress made in English by disadvantaged students
2002,KS5_19,T_SCOPEEX_M_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,17,,7,,,,NE,,SUPP,,,NA,,,57743,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure
2003,KS5_19,PROGEX_M_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,0.66,,0.14,,,,NE,,SUPP,,,NA,,,-0.04,Average progress made in maths by disadvantaged students
2004,KS5_19,T_AIMS_TLEV_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,4,,NE,,,,NE,,9,,,NA,,,5759,Number of Tech Level aims in completion and attainment for disadvantaged students
2005,KS5_19,CA_SCORE_TLEV_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,SUPP,,NE,,,,NE,,-1.75,,,NA,,,-0.25,Tech Level completion and attainment score for disadvantaged students
2006,KS5_19,T_INSCOPE_ALEV_RET_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,33,,27,,,,46,,18,,,NA,,,38266,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification
2007,KS5_19,PT_RETAINED_ALEV_RET_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,90.9%,,85.2%,,,,82.6%,,94.4%,,,NA,,,85.5%,Percentage of disadvantaged students who completed an A level core aim for retention measure
2008,KS5_19,T_INSCOPE_ACAD_RET_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,33,,27,,,,46,,18,,,NA,,,38645,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification
2009,KS5_19,PT_RETAINED_ACAD_RET_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,90.9%,,85.2%,,,,82.6%,,94.4%,,,NA,,,85.4%,Percentage of disadvantaged students who completed an academic core aim for retention measure
2010,KS5_19,T_INSCOPE_AGEN_RET_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,25,,SUPP,,,,NE,,SUPP,,,NA,,,13918,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification
2011,KS5_19,PT_RETAINED_AGEN_RET_DIS,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,92.0%,,SUPP,,,,NE,,SUPP,,,NA,,,83.0%,Percentage of disadvantaged students who completed an applied general core aim for retention measure
