No,Namespace,Variable,Marston Green Infant Academy - 140733,Blackheath Primary School - 103981,Town Junior School - 141206,St Anthony's Catholic Primary School - 104103,St Anthony's Catholic Primary School - 148090,Minworth Junior and Infant School - 103345,Marston Green Junior School - 104060,Kingshurst Primary School - 135139,The Priory Primary School - 131212,Rowley Hall Primary School - 103955,St Anne's Catholic Primary School - 148092,St Anne's Catholic Primary School - 104104,Moorlands Primary School - 103908,Greswold Primary School - 104079,Forest Oak School - 104132,Merstone School - 104133,Smith's Wood Primary Academy - 140923,West Heath Primary School - 134279,Homeschool - 141501,Shirley Heath Junior School - 104050,Newtown Primary School - 103924,Newtown Primary School - 146434,Delves Junior School - 104170,Delves Infant School - 104150,Woodlands Infant School - 104053,Merritts Brook Primary E-ACT Academy - 139014,Grace Mary Primary School - 103945,Highfields Primary School - 103946,St John the Baptist Catholic Primary School - 148093,St John the Baptist Catholic Primary School - 104107,Hawkesley Church Primary Academy - 139269,Damson Wood Nursery and Infant School - 143051,Lea Hall Academy - 148722,Coppice Primary School - 137697,Tameside Primary School - 131735,Harvills Hawthorn Primary School - 131591,Park Hall Junior Academy - 137797,Tameside Primary Academy - 146358,Tudor Grange Academy Kingshurst - 146379,Plantsbrook School - 137053,Lode Heath School - 137008,Light Hall School - 137231,Smith's Wood Academy - 143895,WMG Academy for Young Engineers (Solihull) - 142900,Wodensborough Ormiston Academy - 139918,Ormiston Sandwell Community Academy - 135979,King Edward VI Northfield School for Girls - 148684,Turves Green Girls' School - 103499,High Point Academy - 148400,St Michael's Church of England High School - 104019,National state-funded primary,National state-funded secondary and 16 to 18,Description
1761,KS4_19,SCIVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-1.13,-0.32,-0.94,-1.47,-1.65,-1.05,-1.09,-0.84,,-1.01,,-0.18,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils
1762,KS4_19,SCIVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-0.46,0.72,-0.07,-0.18,-0.5,-0.06,-0.09,-0.4,,0.12,,0.24,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1763,KS4_19,SCIVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-1,0.28,-0.52,-0.61,-1.13,-0.8,-0.69,-0.93,,-0.72,,-0.24,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1764,KS4_19,SCIVAUPP_LO_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-0.33,1.19,0.52,0.73,-0.31,1.34,0.53,-0.08,,-0.08,,0.81,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment
1765,KS4_19,SCIVALOW_LO_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1.56,-0.48,-0.82,-0.57,-1.46,-0.32,-0.6,-1.23,,-1.55,,-0.13,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment
1766,KS4_19,SCIVAUPP_AV_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-0.36,1.07,-0.04,-0.14,-0.5,-0.23,-0.22,-0.33,,0.39,,0.25,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1767,KS4_19,SCIVALOW_AV_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1,0.44,-0.59,-0.72,-1.18,-1.02,-0.85,-0.92,,-0.52,,-0.29,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1768,KS4_19,SCIVAUPP_HI_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-0.43,0.45,-0.06,-0.49,-0.95,-0.15,-0.43,-0.21,,-0.21,,0.35,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment
1769,KS4_19,SCIVALOW_HI_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1.09,-0.08,-0.71,-1.03,-1.74,-1.12,-1.21,-0.9,,-1.17,,-0.3,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment
1770,KS4_19,HUMVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-0.56,0.36,0.29,-0.49,-1.07,-0.59,-0.72,0.66,,0.67,,0.59,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1771,KS4_19,HUMVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-1.52,-0.7,-0.95,-1.46,-1.93,-2.18,-1.61,-0.3,,-0.57,,-0.25,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1772,KS4_19,HUMVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-0.56,0.68,0.47,0.39,-0.8,0.18,-0.16,-0.04,,0.72,,0.45,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1773,KS4_19,HUMVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-1.28,0.14,-0.09,-0.14,-1.57,-1.2,-0.93,-0.71,,-0.36,,-0.15,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1774,KS4_19,HUMVAUPP_LO_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,0.17,1.26,0.96,0.49,0.1,SUPP,0.76,0.67,,0.2,,1.24,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1775,KS4_19,HUMVALOW_LO_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1.38,-0.78,-0.99,-1.11,-1.32,SUPP,-0.75,-1.02,,-2.06,,-0.11,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1776,KS4_19,HUMVAUPP_AV_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.98,0.51,0.26,-0.76,-0.46,-0.29,0.29,,1.27,,0.42,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1777,KS4_19,HUMVALOW_AV_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1.58,0.2,-0.19,-0.45,-1.6,-1.87,-1.1,-0.51,,0.07,,-0.26,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1778,KS4_19,HUMVAUPP_HI_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-0.45,0.4,0.44,0.21,-1.36,0.15,-0.86,0.13,,0.47,,0.53,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1779,KS4_19,HUMVALOW_HI_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1.35,-0.24,-0.35,-0.46,-2.33,-1.65,-1.88,-0.74,,-0.8,,-0.29,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1780,KS4_19,LANVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,0.6,0.36,0.59,0.47,0.18,SUPP,0.43,0.88,,0.59,,-0.21,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils
1781,KS4_19,LANVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-1.92,-0.96,-1.09,-1.17,-1.87,SUPP,-2.48,-0.47,,-1.19,,-2.46,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils
1782,KS4_19,LANVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.01,0.63,0.83,0.41,SUPP,0.87,0.39,,0.98,,-0.29,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1783,KS4_19,LANVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,-1.73,-0.61,-0.17,0.14,-1.19,SUPP,-1.27,-0.51,,-0.54,,-1.59,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1784,KS4_19,LANVAUPP_LO_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1785,KS4_19,LANVALOW_LO_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1786,KS4_19,LANVAUPP_AV_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,0.6,0.55,0.53,1.12,0.76,SUPP,SUPP,0.69,,0.96,,0.02,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1787,KS4_19,LANVALOW_AV_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-1.38,-0.34,-0.55,-0.03,-1.22,SUPP,SUPP,-0.59,,-0.76,,-1.82,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1788,KS4_19,LANVAUPP_HI_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-0.31,-0.21,0.81,0.69,0.02,SUPP,0.35,0.49,,1.07,,-0.27,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1789,KS4_19,LANVALOW_HI_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,-2.21,-0.9,-0.18,-0.09,-1.76,SUPP,-2.03,-0.47,,-0.71,,-1.83,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1790,KS4_19,PTEBACC_E_17_PTQ_EE,,,,,,,,,,,,,,,NA,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,40%,31%,74%,NA,NA,9%,9%,,17%,,10%,,38%,Percentage of pupils entering all English Baccalaureate subject areas in 2017
1791,KS4_19,PTEBACC_94_17,,,,,,,,,,,,,,,NA,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,24%,27%,29%,NA,NA,4%,7%,,5%,,8%,,24%,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2017
1792,KS4_19,PTEBACC_95_17,,,,,,,,,,,,,,,NA,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,20%,24%,28%,NA,NA,4%,7%,,3%,,4%,,21%,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2017
1793,KS4_19,PTEBACC_E_18_PTQ_EE,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,,43%,46%,53%,18%,10%,11%,13%,,25%,,23%,,38%,% of  pupils entering all English Baccalaureate subject areas in 2018
1794,KS4_19,PTEBACC_94_18,,,,,,,,,,,,,,,0%,NA,,,,,,,,,,,,,,,,,,,,,,,NA,33%,32%,32%,10%,1%,5%,10%,,10%,,9%,,24%,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2018
1795,KS4_19,PTEBACC_95_18,,,,,,,,,,,,,,,0%,NA,,,,,,,,,,,,,,,,,,,,,,,NA,23%,21%,13%,4%,0%,1%,7%,,6%,,6%,,17%,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2018
1796,KS4_19,PBEBACC_E_PTQ_EE,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,1%,79%,40%,46%,20%,1%,5%,42%,,NE,,19%,,34%,Percentage of boys with entries in all English Baccalaureate subject areas
1797,KS4_19,PBEBACC_94,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,1%,29%,22%,32%,4%,0%,3%,14%,,NE,,8%,,20%,% of KS4 boys achieving the Ebacc - with 9-4 passes
1798,KS4_19,PBEBACC_95,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,1%,15%,11%,25%,3%,0%,3%,8%,,NE,,2%,,13%,% of KS4 boys achieving the Ebacc - with 9-5 passes
1799,KS4_19,PGEBACC_E_PTQ_EE,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,2%,89%,61%,61%,30%,0%,10%,51%,,37%,,22%,,46%,Percentage of girls with entries in all English Baccalaureate subject areas
1800,KS4_19,PGEBACC_94,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,1%,62%,36%,46%,16%,0%,5%,35%,,18%,,8%,,30%,% of KS4 girls achieving the Ebacc - with 9-4 passes
1801,KS4_19,PGEBACC_95,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,1%,44%,20%,33%,9%,0%,3%,21%,,12%,,4%,,21%,% of KS4 girls achieving the Ebacc - with 9-5 passes
1802,KS4_19,PTEBACC_ENMOB_PTQ_EE,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,2%,85%,51%,54%,23%,1%,7%,49%,,37%,,20%,,41%,Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas
1803,KS4_19,PTEBACCNMOB_94,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,1%,47%,29%,39%,8%,0%,4%,26%,,19%,,7%,,26%,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-4 passes
1804,KS4_19,PTEBACCNMOB_95,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,1%,31%,15%,29%,5%,0%,3%,16%,,12%,,3%,,18%,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-5 passes
1805,KS4_19,PTEBACC_EEAL_PTQ_EE,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,0%,82%,55%,45%,SUPP,0%,18%,57%,,56%,,46%,,49%,Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas
1806,KS4_19,PTEBACCEAL_94,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,0%,47%,27%,39%,SUPP,0%,6%,34%,,22%,,31%,,29%,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-4 passes
1807,KS4_19,PTEBACCEAL_95,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,0%,41%,18%,32%,SUPP,0%,6%,21%,,22%,,15%,,20%,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-5 passes
1808,KS4_19,PTEBACC_EFSM6CLA1A_17,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,33%,29%,66%,NA,NA,5%,10%,,17%,,5%,,25%,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2017
1809,KS4_19,PTEBACC_94_FSM6CLA1A_17,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,12%,21%,24%,NA,NA,1%,10%,,6%,,4%,,12%,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-4 in 2017
1810,KS4_19,PTEBACC_95_FSM6CLA1A_17,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-5 in 2017
1811,KS4_19,PTEBACC_ENFSM6CLA1A_17,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,42%,32%,77%,NA,NA,14%,8%,,16%,,13%,,43%,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2017
1812,KS4_19,PTEBACC_94_NFSM6CLA1A_17,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,9%,15%,21%,NA,NA,1%,8%,,4%,,0%,,10%,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-4 in 2017
1813,KS4_19,PTEBACC_95_NFSM6CLA1A_17,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-5 in 2017
1814,KS4_19,PTEBACC_EFSM6CLA1A_18,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,35%,36%,43%,13%,8%,7%,10%,,17%,,14%,,26%,% of disadvantaged pupils entering all English Baccalaureate subject areas in 2018
1815,KS4_19,PTEBACC_94_FSM6CLA1A_18,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,23%,11%,23%,6%,0%,2%,7%,,7%,,4%,,12%,% of disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018
1816,KS4_19,PTEBACC_95_FSM6CLA1A_18,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,10%,7%,5%,3%,0%,0%,6%,,4%,,2%,,7%,% of disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018
1817,KS4_19,PTEBACC_ENFSM6CLA1A_18,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,45%,50%,57%,24%,12%,14%,15%,,33%,,27%,,43%,% of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2018
1818,KS4_19,PTEBACC_94_NFSM6CLA1A_18,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,34%,39%,36%,15%,2%,7%,11%,,13%,,12%,,29%,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018
1819,KS4_19,PTEBACC_95_NFSM6CLA1A_18,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,25%,25%,17%,6%,0%,2%,7%,,8%,,8%,,20%,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018
1820,KS4_19,PT5EM_94,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,42%,77%,59%,62%,34%,48%,42%,53%,,57%,,54%,,60%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs
1821,KS4_19,PT5EM_94_17,,,,,,,,,,,,,,,NE,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,78%,61%,62%,0%,0%,38%,57%,,52%,,53%,,61%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs in 2017
1822,KS4_19,PT5EM_94_18,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,0%,1%,1%,1%,0%,0%,1%,1%,,1%,,1%,,1%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs
1823,KS4_19,PTANYQ_PTQ_EE,,,,,,,,,,,,,,,31%,NE,,,,,,,,,,,,,,,,,,,,,,,97%,100%,99%,99%,99%,100%,98%,100%,,100%,,100%,,98%,Percentage of pupils achieving any qualifications
1824,KS4_19,PTL2BASICS_94_17,,,,,,,,,,,,,,,NA,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,79%,63%,66%,NA,NA,40%,58%,,53%,,53%,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2017
1825,KS4_19,PTL2BASICS_95_17,,,,,,,,,,,,,,,NA,SUPP,,,,,,,,,,,,,,,,,,,,,,,NA,56%,38%,47%,NA,NA,16%,40%,,22%,,25%,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2017
1826,KS4_19,PTL2BASICS_94_18,,,,,,,,,,,,,,,0%,NA,,,,,,,,,,,,,,,,,,,,,,,NA,77%,63%,71%,44%,43%,53%,50%,,63%,,56%,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2018
1827,KS4_19,PTL2BASICS_95_18,,,,,,,,,,,,,,,0%,NA,,,,,,,,,,,,,,,,,,,,,,,NA,59%,40%,51%,21%,17%,28%,29%,,31%,,25%,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2018
1828,KS4_19,PTFSM6CLA1ABASICS_94,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,35%,59%,34%,60%,31%,42%,32%,44%,,61%,,40%,,45%,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1829,KS4_19,PTNOTFSM6CLA1ABASICS_94,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,52%,85%,70%,74%,44%,60%,59%,62%,,65%,,65%,,72%,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1830,KS4_19,TBASICSLO_94,,,,,,,,,,,,,,,0,NE,,,,,,,,,,,,,,,,,,,,,,,0,2,1,4,1,2,3,2,,0,,2,,5021,Number of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1831,KS4_19,PTBASICSLO_94,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,0%,17%,6%,21%,4%,18%,9%,8%,,0%,,6%,,8%,% of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1832,KS4_19,TBASICSAV_94,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,19,52,52,55,17,21,33,40,,24,,51,,122104,Number of pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1833,KS4_19,PTBASICSAV_94,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,25%,66%,51%,56%,25%,42%,42%,45%,,65%,,49%,,53%,% pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1834,KS4_19,TBASICSHI_94,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,59,106,70,99,36,25,40,56,,31,,66,,207459,Number of pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1835,KS4_19,PTBASICSHI_94,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,83%,96%,93%,94%,72%,78%,78%,88%,,94%,,93%,,93%,% pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1836,KS4_19,PBL2BASICS_94,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,44%,72%,63%,66%,30%,53%,43%,51%,,NE,,54%,,61%,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs 
1837,KS4_19,PGL2BASICS_94,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,48%,86%,64%,75%,48%,55%,53%,59%,,63%,,59%,,68%,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs 
1838,KS4_19,PTL2BASICSEAL_94,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,56%,88%,55%,71%,SUPP,78%,47%,66%,,44%,,54%,,64%,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language
1839,KS4_19,PTL2BASICSNMOB_94,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,47%,80%,64%,71%,37%,54%,48%,55%,,64%,,56%,,66%,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs
1840,KS4_19,PTFSM6CLA1ABASICS_95,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,22%,34%,18%,25%,15%,16%,11%,18%,,30%,,17%,,25%,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1841,KS4_19,PTNOTFSM6CLA1ABASICS_95,,,,,,,,,,,,,,,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,29%,58%,33%,55%,30%,31%,31%,34%,,59%,,43%,,50%,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1842,KS4_19,TBASICSLO_95,,,,,,,,,,,,,,,0,NE,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,,0,,0,,1151,Number of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1843,KS4_19,PTBASICSLO_95,,,,,,,,,,,,,,,0%,NE,,,,,,,,,,,,,,,,,,,,,,,0%,8%,0%,5%,0%,0%,0%,0%,,0%,,0%,,2%,% of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1844,KS4_19,TBASICSAV_95,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,4,22,8,22,4,5,7,6,,9,,21,,51234,Number of pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1845,KS4_19,PTBASICSAV_95,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,5%,28%,8%,22%,6%,10%,9%,7%,,24%,,20%,,22%,% pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1846,KS4_19,TBASICSHI_95,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,41,83,50,84,28,18,29,44,,29,,50,,171126,Number of pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1847,KS4_19,PTBASICSHI_95,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,58%,76%,67%,80%,56%,56%,57%,69%,,88%,,70%,,77%,% pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1848,KS4_19,PBL2BASICS_95,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,26%,41%,30%,44%,16%,24%,16%,24%,,NE,,33%,,40%,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs 
1849,KS4_19,PGL2BASICS_95,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,,,,,,,,,,,,,,,27%,64%,31%,52%,31%,30%,32%,32%,,45%,,34%,,47%,% of girls achieving strong 9-5 passes in both English and mathematics GCSEs 
1850,KS4_19,PTL2BASICSEAL_95,,,,,,,,,,,,,,,NE,NE,,,,,,,,,,,,,,,,,,,,,,,33%,53%,36%,52%,SUPP,33%,18%,40%,,33%,,39%,,44%,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs and for whom English is an additional language
