No,Namespace,Variable,James Watt Primary School - 134102,Norfolk House School - 103572,Cannon Hill House 14 Russell Road - 103588,Deykin Avenue Junior and Infant School - 103313,Oasis Academy Boulton - 139242,Grove School - 103392,Bordesley Green Primary School - 103172,Arden Primary School - 103324,Anderton Park Primary School - 103192,St Benedict's Primary School - 103261,Holy Family Catholic Primary School - 103421,Birmingham Muslim School - 133521,Ark Victoria Academy - 141752,St Martin de Porres Catholic Primary School - 103467,The Blue Coat School Birmingham - 103580,Starbank School - 147757,Starbank  School - 103258,English Martyrs' Catholic Primary School - 103425,Chad Vale Primary School - 103332,Greet Primary School - 143090,Shireland Hall Primary Academy - 139875,William Murdoch Primary School - 103317,Wilkes Green Infant School (NC) - 103308,Slade Primary School - 138590,St John's CofE Primary School - 139173,Cape Primary School - 103937,Alston Primary School - 140656,George Dixon Primary School - 103200,St Teresa's Catholic Primary School - 103456,Sladefield Infant School - 103255,Woodbourne Hospital School - 142623,Hamilton School - 103600,King David Primary School - 103444,Waverley School - 142219,Ark Boulton Academy - 140014,King Edward VI Handsworth Grammar School for Boys - 143562,Green Oak Academy - 131164,Spring Hill High School - 134982,Harborne Academy - 136213,Myles Academy - 148644,"Eden Boys' School, Birmingham - 141969",Waverley Studio College - 139788,King Edward's School - 103584,Saltley Academy - 141668,King Edward VI High School for Girls - 103585,V.A.S.E Academy - 147702,King Edward VI Handsworth Wood Girls' Academy - 138937,Prince Albert High School - 148553,George Dixon Academy - 138695,Holyhead School - 137034,National state-funded primary,National state-funded secondary and 16 to 18,Description
2178,KS5_19,T_INSCOPE_ACAD_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,138,,,5,,,NE,NA,,NA,,30,,28,55,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2179,KS5_19,PT_RETAINED_ACAD_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7%,,98.4%,,,SUPP,,,NE,NA,,NA,,100.0%,,92.5%,96.3%,,92.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2180,KS5_19,PT_RETAINED_ACAD_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1%,,99.3%,,,SUPP,,,NE,NA,,NA,,100.0%,,96.4%,96.4%,,95.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2181,KS5_19,T_INSCOPE_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,12,,4,1,,30080,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2182,KS5_19,T_INSCOPE_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,3,,,29,NA,,NA,,20,,NE,53,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2183,KS5_19,PT_RETAINED_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,100.0%,,SUPP,SUPP,,90.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2184,KS5_19,PT_RETAINED_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,96.6%,NA,,NA,,100.0%,,NE,96.2%,,88.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2185,KS5_19,T_INSCOPE_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,19,,12153,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2186,KS5_19,T_INSCOPE_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,NE,,,NE,,,NE,NA,,NA,,9,,NE,6,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2187,KS5_19,PT_RETAINED_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,94.7%,,90.6%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2188,KS5_19,PT_RETAINED_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,,NE,,,NE,,,NE,NA,,NA,,88.9%,,NE,83.3%,,90.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2189,KS5_19,T_INSCOPE_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,41142,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2190,KS5_19,T_INSCOPE_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2191,KS5_19,PT_RETAINED_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,88.3%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2192,KS5_19,PT_RETAINED_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,86.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2193,KS5_19,TALLPUP_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,43,,,13,,,24,NA,,NA,,27,,29,85,,139106,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2194,KS5_19,TALLPUP_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,37,,,11,,,12,NA,,NA,,34,,21,65,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2195,KS5_19,TALLPUP_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,43,,,SUPP,,,NE,NA,,NA,,8,,26,69,,40882,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2196,KS5_19,TALLPUP_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,37,,,6,,,SUPP,NA,,NA,,21,,SUPP,53,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2197,KS5_19,TALLPPE_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.11,,32.62,,,SUPP,,,NE,NA,,NA,,23.68,,26.51,28.33,,27.86,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2198,KS5_19,TALLPPE_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09,,31.28,,,15,,,SUPP,NA,,NA,,25.43,,SUPP,28.57,,27.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2199,KS5_19,TALLPPEGRD_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C+,,C+,,,SUPP,,,NE,NA,,NA,,D+,,C-,C-,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2200,KS5_19,TALLPPEGRD_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-,,C,,,D-,,,SUPP,NA,,NA,,C-,,SUPP,C,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2201,KS5_19,TALLPUP_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,43,,,SUPP,,,NE,NA,,NA,,8,,26,70,,41606,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2202,KS5_19,TALLPUP_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,37,,,6,,,SUPP,NA,,NA,,22,,SUPP,54,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2203,KS5_19,TALLPPE_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.11,,32.62,,,SUPP,,,NE,NA,,NA,,23.47,,26.51,28.13,,27.96,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2204,KS5_19,TALLPPE_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09,,31.28,,,15,,,SUPP,NA,,NA,,26.25,,SUPP,28.37,,27.19,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2205,KS5_19,TALLPPEGRD_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C+,,C+,,,SUPP,,,NE,NA,,NA,,D+,,C-,C-,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2206,KS5_19,TALLPPEGRD_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-,,C,,,D-,,,SUPP,NA,,NA,,C-,,SUPP,C,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2207,KS5_19,TALLPUP_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,18,NA,,NA,,11,,SUPP,SUPP,,10491,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2208,KS5_19,TALLPUP_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,7,,,12,NA,,NA,,13,,NE,37,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2209,KS5_19,TALLPPE_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,27.89,NA,,NA,,25.27,,SUPP,SUPP,,27.27,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2210,KS5_19,TALLPPE_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,42.86,,,43.89,NA,,NA,,36.07,,NE,42.54,,33.83,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2211,KS5_19,TALLPPEGRD_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,Merit+,NA,,NA,,Merit,,SUPP,SUPP,,Merit+,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2212,KS5_19,TALLPPEGRD_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,Dist*-,,,Dist*-,NA,,NA,,Dist,,NE,Dist*-,,Dist,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2213,KS5_19,TALLPUP_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,SUPP,,NE,SUPP,,2985,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2214,KS5_19,TALLPUP_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,SUPP,,,NE,,,NE,NA,,NA,,SUPP,,NE,9,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2215,KS5_19,TALLPPE_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,SUPP,,NE,SUPP,,26.26,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2216,KS5_19,TALLPPE_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,SUPP,,,NE,,,NE,NA,,NA,,SUPP,,NE,48.33,,30.93,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2217,KS5_19,TALLPPEGRD_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,SUPP,,NE,SUPP,,Merit,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2218,KS5_19,TALLPPEGRD_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,SUPP,,,NE,,,NE,NA,,NA,,SUPP,,NE,Dist*,,Dist-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2219,KS5_19,TALLPUP_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,12343,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2220,KS5_19,TALLPUP_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2221,KS5_19,TALLPPE_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,5.72,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2222,KS5_19,TALLPPE_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,5.72,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2223,KS5_19,TALLPPEGRD_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,L2Merit-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2224,KS5_19,TALLPPEGRD_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,L2Merit-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2225,KS5_19,T_AIMS_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,15,,3581,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2226,KS5_19,T_AIMS_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,NE,,,NE,,,NE,NA,,NA,,3,,NE,10,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2227,KS5_19,CA_SCORE_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,SUPP,,-0.25,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2228,KS5_19,CA_SCORE_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,NE,,,NE,NA,,NA,,SUPP,,NE,0.4,,-0.24,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2229,KS5_19,T_AIMS_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,6934,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2230,KS5_19,T_AIMS_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2231,KS5_19,CA_SCORE_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,-0.12,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2232,KS5_19,CA_SCORE_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,NE,,,NE,NA,,NA,,NE,,NE,NE,,-0.14,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2233,KS5_19,T_SCOPEEX_E_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,9,NA,,NA,,8,,SUPP,SUPP,,47613,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2234,KS5_19,T_SCOPEEX_E_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,SUPP,NA,,NA,,9,,SUPP,SUPP,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2235,KS5_19,PROGEX_E_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,0.56,NA,,NA,,0.38,,SUPP,SUPP,,-0.09,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2236,KS5_19,PROGEX_E_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,SUPP,NA,,NA,,0.78,,SUPP,SUPP,,-0.16,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2237,KS5_19,T_SCOPEEX_M_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,17,NA,,NA,,12,,SUPP,7,,58707,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2238,KS5_19,T_SCOPEEX_M_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,7,NA,,NA,,14,,NE,SUPP,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2239,KS5_19,PROGEX_M_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,0.35,NA,,NA,,0.33,,SUPP,-0.29,,-0.08,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2240,KS5_19,PROGEX_M_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,NE,,,SUPP,,,0.71,NA,,NA,,0.43,,NE,SUPP,,-0.12,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2241,KS5_19,ENTRIES_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,153,,,SUPP,,,NE,NA,,NA,,20,,79,165,,122816,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2242,KS5_19,ENTRIES_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,135,,,17,,,SUPP,NA,,NA,,47,,53,128,,138829,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2243,KS5_19,VA_INS_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,-0.23,,,SUPP,,,NE,NA,,NA,,0.01,,0.23,-0.14,,-0.09,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2244,KS5_19,VA_INS_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,,0.01,,,-0.24,,,SUPP,NA,,NA,,0.06,,-0.16,0.31,,-0.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2245,KS5_19,UCI_INS_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,-0.04,,,SUPP,,,NE,NA,,NA,,0.55,,0.48,0.03,,-0.08,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2246,KS5_19,UCI_INS_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.22,,,0.34,,,SUPP,NA,,NA,,0.40,,0.17,0.51,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2247,KS5_19,LCI_INS_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,-0.43,,,SUPP,,,NE,NA,,NA,,-0.53,,-0.03,-0.32,,-0.10,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2248,KS5_19,LCI_INS_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,,-0.20,,,-0.83,,,SUPP,NA,,NA,,-0.29,,-0.48,0.11,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2249,KS5_19,ENTRIES_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,153,,,SUPP,,,NE,NA,,NA,,21,,79,174,,128633,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2250,KS5_19,ENTRIES_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,135,,,17,,,SUPP,NA,,NA,,55,,53,134,,143775,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2251,KS5_19,VA_INS_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,-0.23,,,SUPP,,,NE,NA,,NA,,-0.02,,0.23,-0.15,,-0.09,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2252,KS5_19,VA_INS_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,,0.01,,,-0.24,,,SUPP,NA,,NA,,0.10,,-0.16,0.30,,-0.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2253,KS5_19,UCI_INS_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,-0.04,,,SUPP,,,NE,NA,,NA,,0.51,,0.48,0.02,,-0.08,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2254,KS5_19,UCI_INS_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.22,,,0.34,,,SUPP,NA,,NA,,0.43,,0.17,0.50,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2255,KS5_19,LCI_INS_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,-0.43,,,SUPP,,,NE,NA,,NA,,-0.56,,-0.03,-0.33,,-0.10,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2256,KS5_19,LCI_INS_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,,-0.20,,,-0.83,,,SUPP,NA,,NA,,-0.23,,-0.48,0.10,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2257,KS5_19,ENTRIES_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,18,NA,,NA,,15,,SUPP,SUPP,,13321,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2258,KS5_19,ENTRIES_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,8,,,12,NA,,NA,,14,,NE,57,,35969,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2259,KS5_19,VA_INS_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,0.02,NA,,NA,,-0.31,,SUPP,SUPP,,-0.03,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2260,KS5_19,VA_INS_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,0.44,,,0.99,NA,,NA,,0.60,,NE,0.39,,-0.08,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2261,KS5_19,UCI_INS_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,0.42,NA,,NA,,0.25,,SUPP,SUPP,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2262,KS5_19,UCI_INS_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,1.18,,,1.58,NA,,NA,,1.30,,NE,0.72,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2263,KS5_19,LCI_INS_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,SUPP,,,-0.37,NA,,NA,,-0.86,,SUPP,SUPP,,-0.04,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2264,KS5_19,LCI_INS_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,NE,,,-0.31,,,0.39,NA,,NA,,-0.10,,NE,0.06,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2265,KS5_19,T_INSCOPE_ALEV_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,41,,,SUPP,,,NE,NA,,NA,,SUPP,,26,54,,41679,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2266,KS5_19,T_INSCOPE_ALEV_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,36,,,SUPP,,,NE,NA,,NA,,15,,21,28,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2267,KS5_19,PT_RETAINED_ALEV_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7%,,97.6%,,,SUPP,,,NE,NA,,NA,,SUPP,,96.2%,98.1%,,87.3%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2268,KS5_19,PT_RETAINED_ALEV_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,,100.0%,,,SUPP,,,NE,NA,,NA,,100.0%,,95.2%,96.4%,,91.6%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
