No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
1826,KS4_19,PTL2BASICS_94_18,,,,,,,,,,SUPP,,,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,47%,43%,58%,,70%,0%,83%,46%,40%,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2018
1827,KS4_19,PTL2BASICS_95_18,,,,,,,,,,SUPP,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,61%,21%,29%,34%,,52%,0%,33%,24%,21%,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2018
1828,KS4_19,PTFSM6CLA1ABASICS_94,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,43%,44%,49%,,57%,NP,NP,41%,40%,,45%,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1829,KS4_19,PTNOTFSM6CLA1ABASICS_94,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,81%,58%,63%,72%,,79%,NP,NP,66%,42%,,72%,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1830,KS4_19,TBASICSLO_94,,,,,,,,,,NE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,2,,1,NP,NP,0,1,,5021,Number of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1831,KS4_19,PTBASICSLO_94,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,0%,6%,11%,,6%,NP,NP,0%,7%,,8%,% of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1832,KS4_19,TBASICSAV_94,,,,,,,,,,NE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,35,49,,55,NP,NP,23,11,,122104,Number of pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1833,KS4_19,PTBASICSAV_94,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,67%,45%,36%,49%,,63%,NP,NP,54%,36%,,53%,% pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1834,KS4_19,TBASICSHI_94,,,,,,,,,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,50,15,60,87,,80,NP,NP,29,14,,207459,Number of pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1835,KS4_19,PTBASICSHI_94,,,,,,,,,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,89%,88%,90%,98%,,99%,NP,NP,97%,82%,,93%,% pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1836,KS4_19,PBL2BASICS_94,,,,,,,,,,SUPP,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,50%,54%,68%,,77%,SUPP,0%,57%,41%,,61%,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs 
1837,KS4_19,PGL2BASICS_94,,,,,,,,,,SUPP,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,50%,52%,65%,,68%,SUPP,NE,52%,40%,,68%,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs 
1838,KS4_19,PTL2BASICSEAL_94,,,,,,,,,,SUPP,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,86%,56%,100%,83%,,78%,NP,NP,46%,42%,,64%,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language
1839,KS4_19,PTL2BASICSNMOB_94,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,49%,53%,68%,,73%,NP,NP,54%,41%,,66%,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs
1840,KS4_19,PTFSM6CLA1ABASICS_95,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,23%,23%,28%,,29%,NP,NP,13%,18%,,25%,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1841,KS4_19,PTNOTFSM6CLA1ABASICS_95,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,53%,35%,46%,44%,,58%,NP,NP,38%,22%,,50%,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1842,KS4_19,TBASICSLO_95,,,,,,,,,,NE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,0,NP,NP,0,0,,1151,Number of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1843,KS4_19,PTBASICSLO_95,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,6%,0%,,0%,NP,NP,0%,0%,,2%,% of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1844,KS4_19,TBASICSAV_95,,,,,,,,,,NE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,12,18,,22,NP,NP,10,1,,51234,Number of pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1845,KS4_19,PTBASICSAV_95,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,17%,12%,18%,,25%,NP,NP,23%,3%,,22%,% pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1846,KS4_19,TBASICSHI_95,,,,,,,,,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,41,10,48,67,,72,NP,NP,16,12,,171126,Number of pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1847,KS4_19,PTBASICSHI_95,,,,,,,,,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,73%,59%,72%,75%,,89%,NP,NP,53%,71%,,77%,% pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1848,KS4_19,PBL2BASICS_95,,,,,,,,,,SUPP,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,48%,27%,34%,41%,,49%,SUPP,0%,26%,20%,,40%,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs 
1849,KS4_19,PGL2BASICS_95,,,,,,,,,,SUPP,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,30%,33%,39%,,51%,SUPP,NE,26%,19%,,47%,% of girls achieving strong 9-5 passes in both English and mathematics GCSEs 
1850,KS4_19,PTL2BASICSEAL_95,,,,,,,,,,SUPP,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,37%,67%,63%,,51%,NP,NP,18%,18%,,44%,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs and for whom English is an additional language
1851,KS4_19,PTL2BASICSNMOB_95,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,49%,26%,34%,41%,,50%,NP,NP,26%,20%,,44%,% of non-mobile pupils achieving strong 9-5 passes in both English and mathematics GCSEs
1852,KS4_19,PTFSM6CLA1ABASICS_94_17,,,,,,,,,,SUPP,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,44%,40%,48%,,48%,NA,NA,44%,NA,,44%,% of disadvantaged pupils achieving 9-4 in GCSE English and maths in 2017
1853,KS4_19,PTFSM6CLA1ABASICS_95_17,,,,,,,,,,SUPP,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,17%,23%,29%,,14%,NA,NA,20%,NA,,25%,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017
1854,KS4_19,PTNOTFSMBASICS_94_17,,,,,,,,,,SUPP,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,82%,48%,67%,76%,,78%,NA,NA,52%,NA,,71%,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017
1855,KS4_19,PTNOTFSM6CLA1ABASICS_95_17,,,,,,,,,,SUPP,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,22%,47%,47%,,57%,NA,NA,28%,NA,,49%,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2017
1856,KS4_19,PTFSM6CLA1ABASICS_94_18,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,61%,54%,39%,38%,,49%,NA,NA,38%,40%,,45%,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2018
1857,KS4_19,PTFSM6CLA1ABASICS_95_18,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,48%,22%,26%,20%,,32%,NA,NA,18%,21%,,25%,% of disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2018
1858,KS4_19,PTNOTFSM6CLA1ABASICS_94_18,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,78%,36%,47%,65%,,77%,NA,NA,54%,42%,,72%,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2018
1859,KS4_19,PTNOTFSM6CLA1ABASICS_95_18,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,18%,33%,40%,,58%,NA,NA,29%,21%,,50%,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2018
1860,KS4_19,PTMULTILAN_E,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,5%,0%,1%,,2%,0%,0%,5%,1%,,3%,Percentage of pupils entering more than one language
1861,KS4_19,PTTRIPLESCI_E,,,,,,,,,,NE,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,31%,1%,22%,,29%,0%,0%,36%,21%,,27%,"Percentage of pupils entering biology, chemistry and physics"
1862,KS4_19,TFSM6CLA1A_17,,,,,,,,,,SUPP,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,34,54,84,62,,44,NA,NA,75,NA,,143544,Number of disadvantaged pupils at the end of key stage 4 in 2017
1863,KS4_19,PTFSM6CLA1A_17,,,,,,,,,,SUPP,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,70%,53%,27%,,23%,NA,NA,53%,NA,,27%,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2017
1864,KS4_19,TNOTFSM6CLA1A_17,,,,,,,,,,SUPP,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,68,23,75,168,,150,NA,NA,67,NA,,384200,Number of non-disadvantaged pupils at the end of key stage 4 in 2017
1865,KS4_19,PTNOTFSM6CLA1A_17,,,,,,,,,,SUPP,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,67%,30%,47%,73%,,77%,NA,NA,47%,NA,,73%,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2017
1866,KS4_19,TFSM6CLA1A_18,,,,,,,,,,SUPP,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,23,50,87,61,,47,NA,NP,71,73,,141134,Number of disadvantaged pupils in 2018
1867,KS4_19,PTFSM6CLA1A_18,,,,,,,,,,SUPP,,,,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,64%,54%,26%,,24%,NA,NP,48%,58%,,27%,% of pupils who were disadvantaged in 2018
1868,KS4_19,TNOTFSM6CLA1A_18,,,,,,,,,,SUPP,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,88,28,73,171,,151,NA,NP,76,53,,382502,Number of non-disadvantaged pupils in 2018
1869,KS4_19,PTNOTFSM6CLA1A_18,,,,,,,,,,SUPP,,,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,79%,36%,46%,74%,,76%,NA,NP,52%,42%,,73%,% of pupils who were not disadvantaged in 2018
1870,KS4_19,TAVENT_E_3NG_PTQ_EE,,,,,,,,,,NE,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.6,7.5,8,,7.9,0.5,2.6,7.8,7,,8.2,Average number of KS4 entries per pupil
1871,KS4_19,TAVENT_E_3NG_LO_PTQ_EE,,,,,,,,,,NE,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.6,7.2,6.5,,7,NP,NP,6.6,6.7,,6.2,Average number of KS4 entries per pupil with low prior attainment
1872,KS4_19,TAVENT_E_3NG_AV_PTQ_EE,,,,,,,,,,NE,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,8.4,7.2,8,,7.7,NP,NP,7.8,7.1,,8,Average number of KS4 entries per pupil with middle prior attainment
1873,KS4_19,TAVENT_E_3NG_HI_PTQ_EE,,,,,,,,,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,9.5,7.9,8.4,,8.6,NP,NP,8.6,9,,9,Average number of KS4 entries per pupil with high prior attainment
1874,KS4_19,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.4,7.1,7.9,,7.2,NP,NP,7.6,6.8,,7.4,Average number of KS4 entries per disadvantaged pupil
1875,KS4_19,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.9,7.8,8.1,,8.2,NP,NP,8.1,7.3,,8.4,Average number of KS4 entries per non-disadvantaged pupil
1876,KS4_19,TAVENT_EFSM6CLA1A_17_PTQ_EE,,,,,,,,,,SUPP,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,9.4,9,8.9,,9.1,NA,NA,8.3,NA,,8.7,Average number of KS4 entries per disadvantaged pupil in 2017
1877,KS4_19,TAVENT_ENFSM6CLA1A_17_PTQ_EE,,,,,,,,,,SUPP,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.3,9.7,9.3,,9.8,NA,NA,8.6,NA,,9.6,Average number of KS4 entries per non-disadvantaged pupil in 2017
1878,KS4_19,TAVENT_EFSM6CLA1A_18_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.6,7.4,8.2,,6.7,NA,NA,7.4,7.1,,7.6,Average number of KS4 entries per disadvantaged pupil in 2018
1879,KS4_19,TAVENT_ENFSM6CLA1A_18_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7.4,7.7,8.4,,8,NA,NA,7.3,6.3,,8.5,Average number of KS4 entries per non-disadvantaged pupil in 2018
1880,KS4_19,TAVENT_G_PTQ_EE,,,,,,,,,,NE,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,5.5,7,,7.5,0.5,2.6,6.9,6.2,,7.5,Average number of GCSE entries per pupil
1881,KS4_19,TAVENT_GLO_PTQ_EE,,,,,,,,,,NE,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,5.7,5.5,5.4,,6.3,NP,NP,5.7,6.1,,5.4,Average number of GCSE entries per pupil with low prior attainment
1882,KS4_19,TAVENT_GAV_PTQ_EE,,,,,,,,,,NE,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,7.1,5.4,6.6,,7.1,NP,NP,6.8,6.3,,7.1,Average number of GCSE entries per pupil with middle prior attainment
1883,KS4_19,TAVENT_GHI_PTQ_EE,,,,,,,,,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.5,5.7,7.7,,8.4,NP,NP,7.6,7.7,,8.5,Average number of GCSE entries per pupil with high prior attainment
1884,KS4_19,TAVENT_GFSM6CLA1A_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,7,5.4,6.9,,6.7,NP,NP,6.6,6,,6.6,Average number of GCSE entries per disadvantaged pupil
1885,KS4_19,TAVENT_GNFSM6CLA1A_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.7,5.6,7,,7.9,NP,NP,7.1,6.5,,7.8,Average number of GCSE entries per non-disadvantaged pupil
1886,KS4_19,TAVENT_GFSM6CLA1A_17_PTQ_EE,,,,,,,,,,SUPP,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8,6.8,8.2,,7.9,NA,NA,7.5,NA,,7.9,Average number of GCSE entries per disadvantaged pupil in 2017
1887,KS4_19,TAVENT_GNFSM6CLA1A_17_PTQ_EE,,,,,,,,,,SUPP,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.1,7.4,8.7,,9.3,NA,NA,7.8,NA,,9,Average number of GCSE entries per non-disadvantaged pupil in 2017
1888,KS4_19,TAVENT_GFSM6CLA1A_18_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.1,5.7,7.6,,6.3,NA,NA,6.6,6.7,,6.9,Average number of GCSE entries per disadvantaged pupil in 2018
1889,KS4_19,TAVENT_GNFSM6CLA1A_18_PTQ_EE,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.7,5.9,7.9,,7.8,NA,NA,6.6,6.1,,8.1,Average number of GCSE entries per non-disadvantaged pupil in 2018
1890,KS4_19,P8_BANDING,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,,2,,,,4,,,Progress 8 banding shown on school performance tables website
1891,KS4_19,P8_BANDING_FULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,KS5_19,YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019,,,,,2019,,,2019,
1893,KS5_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,7,Record type: 1= school or college; 3= sixth form centre/consortium (see separate list of the sixth form centres and consortia and their feeder schools and colleges); 4= Local Authority; 5= National (all schools and colleges); 7= National (state-funded schools and colleges)
1894,KS5_19,ALPHAIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54972,42038,,,,,24400,,,,Alphabetic index
1895,KS5_19,REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,24,,,,Region code (see separate list of region and local authority codes)
1896,KS5_19,LASORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,4,,,,Local authority sort code within region
1897,KS5_19,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,333,,,,,333,,,,LA number
1898,KS5_19,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907,4111,,,,,4005,,,,Establishment number
1899,KS5_19,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135911,104012,,,,,141813,,,,Unique Reference Number of establishment
1900,KS5_19,PCON_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E14000560,E14001016,,,,,E14001029,,,,School parliamentary constituency code
1901,KS5_19,PCON_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham, Edgbaston",Warley,,,,,West Bromwich East,,,,School parliamentary constituency name
1902,KS5_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Name of converter academy
1903,KS5_19,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shenley Academy,Perryfields High School Specialist Maths and Computing College,,,,,Health Futures UTC,,,,School/college name
1904,KS5_19,ADDRESS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shenley Lane,Oldacre Road,,,,,High Street,,,,School/college address (1)
1905,KS5_19,ADDRESS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School/college address (2)
1906,KS5_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northfield,,,,,,,,,,School/college address (3)
1907,KS5_19,TOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,Oldbury,,,,,West Bromwich,,,,Town where school/college is located
1908,KS5_19,PCODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B29 4HE,B68 0RG,,,,,B70 8DJ,,,,School/college postcode
1909,KS5_19,TELNUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01214645191,01214217979,,,,,01217942888,,,,School/college telephone number 
1910,KS5_19,CONTFLAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,Contingency flag: results significantly affected: 0= not significantly affected; 1= significantly affected
1911,KS5_19,NFTYPE/FESITYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,CY,,,,,UTC,,,,School type/FE college type
1912,KS5_19,RELDENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,Religious character 
1913,KS5_19,ADMPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,,,,,NR,,,,Admissions policy
1914,KS5_19,ADMPOL_PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER NON SEL,OTHER NON SEL,,,,,NA,,,,Admissions policy - new definition from 2019 onwards
1915,KS5_19,GEND1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIXED,MIXED,,,,,MIXED,,,,"Gender of sixth form: girls, boys or mixed"
1916,KS5_19,FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:0= not a feeder school/college; 1= feeder school/college
1917,KS5_19,AGERANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 to 19,11 to 18,,,,,14 to 19,,,,Age range
1918,KS5_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,Closed school/college flag: 0= open; 1= closed
1919,KS5_19,TABKS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school is published in the primary school (Key Stage 2) performance tables:0= No; 1= Yes
1920,KS5_19,TAB15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 0= No; 1= Yes
1921,KS5_19,EXAMCONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college has confirmed their results: blank/null= confirmed; R= not confirmed
1922,KS5_19,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dummy field
1923,KS5_19,TPUP1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,11,,,,,87,,,,Number of 16-18 year old students in sixth form
1924,KS5_19,TALLPUP_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,19,,,,,69,,,550933,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1925,KS5_19,TALLPUP_ALEV_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,,,,,48,,,247995,Number of students at the end of 16-18 study who entered for at least one AS or A level qualification
1926,KS5_19,TALLPPE_ALEV_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,20.68,,,,,22.93,,,32.87,Average point score per A level entry
1927,KS5_19,TALLPPEGRD_ALEV_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,D,,,,,D+,,,C+,Average point score per A level entry expressed as a grade
1928,KS5_19,TINCLUDE_B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,9,,,,,29,,,189802,Number of students included in the best 3 A levels measure
1929,KS5_19,TB3PTSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,22.96,,,,,24.14,,,32.89,Average point score in best 3 A level entries
1930,KS5_19,TB3PTSE_GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,D+,,,,,D+,,,C+,Average point score in best 3 A level entries expressed as a grade
1931,KS5_19,TINCLUDE_AAB_2FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,9,,,,,29,,,189788,Number of students included in AAB in 2 facilitating subjects measure
1932,KS5_19,PTAAB_2FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,11.1%,,,,,0.0%,,,14.1%,"Percentage of A level students achieving at least three levels at grades AAB or better, at least two of which are in facilitating subjects"
1933,KS5_19,TALLPUP_ACAD_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,,,,,48,,,252640,Number of students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1934,KS5_19,TALLPPE_ACAD_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,20.68,,,,,23.26,,,33.02,Average point score per academic entry
1935,KS5_19,TALLPPEGRD_ACAD_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,D,,,,,D+,,,C+,Average point score per academic entry expressed as a grade
1936,KS5_19,TALLPUP_AGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,,,,19,,,67710,Number of students at the end of 16-18 study who entered for ant least one applied general qualification
