No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
1728,KS4_19,PTEBACC_ELO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,16.70%,2.90%,NP,8.70%,,NP,,9.40%,EBacc entered % by low prior attainment
1729,KS4_19,PTEBACCLO_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,0.00%,0.00%,NP,0.00%,,NP,,0.90%,EBacc achieved % by low prior attainment - with standard 9-4 passes in English and maths 
1730,KS4_19,PTEBACCLO_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,0.00%,0.00%,NP,0.00%,,NP,,0.30%,EBacc achieved % by low prior attainment - with 9-5 passes
1731,KS4_19,TEBACC_EAV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,34,50,NP,22,,NP,,68676,Number of pupils in middle prior attainment band with entries in all EBacc subject areas 
1732,KS4_19,PTEBACC_EAV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,47%,47%,NP,45%,,NP,,30%,EBacc entered % by middle prior attainment
1733,KS4_19,PTEBACCAV_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,38%,8%,NP,18%,,NP,,11%,EBacc achieved % by middle prior attainment - with 9-4 passes
1734,KS4_19,PTEBACCAV_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,26%,2%,NP,4%,,NP,,4%,EBacc achieved % by middle prior attainment - with 9-5 passes
1735,KS4_19,TEBACC_EHI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,133,NP,NP,36,40,NP,31,,NP,,130587,Number of pupils in high prior attainment band with entries in all EBacc subject areas 
1736,KS4_19,PTEBACC_EHI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,88%,NP,NP,55%,80%,NP,91%,,NP,,58%,EBacc entered % by high prior attainment
1737,KS4_19,PTEBACCHI_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,80%,NP,NP,51%,54%,NP,88%,,NP,,46%,EBacc achieved % by high prior attainment - with 9-4 passes
1738,KS4_19,PTEBACCHI_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,68%,NP,NP,46%,34%,NP,59%,,NP,,35%,EBacc achieved % by high prior attainment - with 9-5 passes
1739,KS4_19,PTEBACC_EFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,80%,NP,NP,39%,43%,NP,51%,,NP,,28%,% of disadvantaged pupils entering all English Baccalaureate subject areas
1740,KS4_19,PTEBACC_ENFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,89%,NP,NP,55%,54%,NP,50%,,NP,,45%,% of non-disadvantaged pupils entering all English Baccalaureate subject areas
1741,KS4_19,PTEBACC_94_FSM6CLA1A,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,80%,NP,NP,27%,15%,NP,34%,,NP,,13%,% of disadvantaged pupils achieving the English Baccalaureate - with 9-4 passes
1742,KS4_19,PTEBACC_95_FSM6CLA1A,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,55%,NP,NP,21%,8%,NP,19%,,NP,,7%,% of disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes
1743,KS4_19,PTEBACC_94_NFSM6CLA1A,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,80%,NP,NP,50%,24%,NP,41%,,NP,,29%,% of non-disadvantaged pupils achieving the English Baccalaureate - with 9-4 passes
1744,KS4_19,PTEBACC_95_NFSM6CLA1A,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,70%,NP,NP,41%,14%,NP,25%,,NP,,21%,% of non-disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes
1745,KS4_19,SCIVAMEA_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,0.74,-0.65,NP,-0.19,,NP,,0,English Baccalaureate Science Value Added measure for pupils with low prior attainment
1746,KS4_19,SCIVAMEA_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,0.96,-0.45,NP,0.35,,NP,,0,English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1747,KS4_19,SCIVAMEA_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.8,NP,NP,0.81,-0.3,NP,0.1,,NP,,0.01,English Baccalaureate Science Value Added measure for pupils with high prior attainment
1748,KS4_19,SCIVAMEA_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.72,NP,NP,0.54,-0.48,NP,0.22,,NP,,-0.35,English Baccalaureate Science Value Added measure for disadvantaged pupils
1749,KS4_19,SCIVAMEA_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.81,NP,NP,1.08,-0.42,NP,-0.03,,NP,,0.12,English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1750,KS4_19,HUMVAMEA_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,SUPP,-0.37,NP,-0.4,,NP,,0,English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1751,KS4_19,HUMVAMEA_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,1.32,-0.83,NP,0.29,,NP,,-0.01,English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1752,KS4_19,HUMVAMEA_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.77,NP,NP,1.27,-0.46,NP,-0.03,,NP,,0.01,English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1753,KS4_19,HUMVAMEA_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.63,NP,NP,1.04,-0.64,NP,0.2,,NP,,-0.47,English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1754,KS4_19,HUMVAMEA_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.78,NP,NP,1.4,-0.69,NP,-0.16,,NP,,0.15,English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1755,KS4_19,LANVAMEA_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,SUPP,SUPP,NP,SUPP,,NP,,0,English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1756,KS4_19,LANVAMEA_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,2.08,-0.35,NP,0.08,,NP,,0,English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1757,KS4_19,LANVAMEA_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.33,NP,NP,2.14,-0.27,NP,0.57,,NP,,0,English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1758,KS4_19,LANVAMEA_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.39,NP,NP,2.34,-0.43,NP,0.33,,NP,,-0.19,English Baccalaureate Languages Value Added measure for disadvantaged pupils
1759,KS4_19,LANVAMEA_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.3,NP,NP,2.03,-0.24,NP,0.47,,NP,,0.05,English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1760,KS4_19,SCIVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,1.34,NP,NP,0.91,-0.2,NP,0.53,,NP,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils
1761,KS4_19,SCIVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.1,NP,NP,0.18,-0.75,NP,-0.1,,NP,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils
1762,KS4_19,SCIVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,1.05,NP,NP,1.36,-0.13,NP,0.49,,NP,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1763,KS4_19,SCIVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.57,NP,NP,0.79,-0.71,NP,-0.55,,NP,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1764,KS4_19,SCIVAUPP_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,1.53,-0.19,NP,0.38,,NP,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment
1765,KS4_19,SCIVALOW_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,-0.06,-1.12,NP,-0.77,,NP,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment
1766,KS4_19,SCIVAUPP_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,1.28,-0.19,NP,0.74,,NP,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1767,KS4_19,SCIVALOW_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,0.63,-0.72,NP,-0.05,,NP,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1768,KS4_19,SCIVAUPP_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,1.02,NP,NP,1.15,0.09,NP,0.58,,NP,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment
1769,KS4_19,SCIVALOW_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.57,NP,NP,0.46,-0.69,NP,-0.38,,NP,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment
1770,KS4_19,HUMVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,1.41,NP,NP,1.57,-0.29,NP,0.67,,NP,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1771,KS4_19,HUMVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.14,NP,NP,0.51,-0.99,NP,-0.27,,NP,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1772,KS4_19,HUMVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,1.08,NP,NP,1.76,-0.33,NP,0.56,,NP,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1773,KS4_19,HUMVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.48,NP,NP,1.04,-1.05,NP,-0.88,,NP,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1774,KS4_19,HUMVAUPP_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,SUPP,0.29,NP,0.98,,NP,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1775,KS4_19,HUMVALOW_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,SUPP,-1.03,NP,-1.78,,NP,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1776,KS4_19,HUMVAUPP_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,1.75,-0.5,NP,0.86,,NP,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1777,KS4_19,HUMVALOW_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,0.89,-1.16,NP,-0.28,,NP,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1778,KS4_19,HUMVAUPP_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,1.05,NP,NP,1.7,0.02,NP,0.56,,NP,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1779,KS4_19,HUMVALOW_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.49,NP,NP,0.83,-0.94,NP,-0.61,,NP,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1780,KS4_19,LANVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.47,NP,NP,3.08,0.1,NP,0.86,,NP,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils
1781,KS4_19,LANVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-1.25,NP,NP,1.59,-0.97,NP,-0.2,,NP,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils
1782,KS4_19,LANVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,0.02,NP,NP,2.52,0.28,NP,1.36,,NP,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1783,KS4_19,LANVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.62,NP,NP,1.54,-0.76,NP,-0.42,,NP,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1784,KS4_19,LANVAUPP_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,SUPP,SUPP,NP,SUPP,,NP,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1785,KS4_19,LANVALOW_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,SUPP,SUPP,NP,SUPP,,NP,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1786,KS4_19,LANVAUPP_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,2.68,0.15,NP,0.76,,NP,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1787,KS4_19,LANVALOW_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,1.47,-0.84,NP,-0.59,,NP,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1788,KS4_19,LANVAUPP_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.02,NP,NP,2.71,0.29,NP,1.21,,NP,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1789,KS4_19,LANVALOW_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,-0.63,NP,NP,1.57,-0.83,NP,-0.07,,NP,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1790,KS4_19,PTEBACC_E_17_PTQ_EE,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,NA,,,,,91%,94%,0%,46%,49%,0%,27%,NA,0%,,38%,Percentage of pupils entering all English Baccalaureate subject areas in 2017
1791,KS4_19,PTEBACC_94_17,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,NA,,,,,90%,12%,0%,36%,18%,0%,21%,NA,0%,,24%,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2017
1792,KS4_19,PTEBACC_95_17,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,NA,,,,,89%,12%,0%,34%,15%,0%,16%,NA,0%,,21%,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2017
1793,KS4_19,PTEBACC_E_18_PTQ_EE,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,91%,74%,0%,58%,55%,0%,21%,,0%,,38%,% of  pupils entering all English Baccalaureate subject areas in 2018
1794,KS4_19,PTEBACC_94_18,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,88%,22%,0%,48%,20%,0%,12%,NA,0%,,24%,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2018
1795,KS4_19,PTEBACC_95_18,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,80%,17%,0%,36%,12%,0%,9%,NA,0%,,17%,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2018
1796,KS4_19,PBEBACC_E_PTQ_EE,,,,,,,,,,NE,,,,,,NE,,,,,,,,,,,,,,,,,,,,,0%,,,,,NE,0%,0%,NE,49%,0%,43%,,NE,,34%,Percentage of boys with entries in all English Baccalaureate subject areas
1797,KS4_19,PBEBACC_94,,,,,,,,,,NE,,,,,,NE,,,,,,,,,,,,,,,,,,,,,0%,,,,,NE,0%,0%,NE,19%,0%,37%,,NE,,20%,% of KS4 boys achieving the Ebacc - with 9-4 passes
1798,KS4_19,PBEBACC_95,,,,,,,,,,NE,,,,,,NE,,,,,,,,,,,,,,,,,,,,,0%,,,,,NE,0%,0%,NE,11%,0%,19%,,NE,,13%,% of KS4 boys achieving the Ebacc - with 9-5 passes
1799,KS4_19,PGEBACC_E_PTQ_EE,,,,,,,,,,0%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,14%,,,,,88%,NE,NE,48%,47%,0%,58%,,10%,,46%,Percentage of girls with entries in all English Baccalaureate subject areas
1800,KS4_19,PGEBACC_94,,,,,,,,,,0%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,14%,,,,,80%,NE,NE,41%,20%,0%,35%,,10%,,30%,% of KS4 girls achieving the Ebacc - with 9-4 passes
1801,KS4_19,PGEBACC_95,,,,,,,,,,0%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,0%,,,,,68%,NE,NE,33%,11%,0%,23%,,10%,,21%,% of KS4 girls achieving the Ebacc - with 9-5 passes
1802,KS4_19,PTEBACC_ENMOB_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,88%,NP,NP,49%,48%,NP,51%,,NP,,41%,Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas
1803,KS4_19,PTEBACCNMOB_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,80%,NP,NP,41%,19%,NP,36%,,NP,,26%,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-4 passes
1804,KS4_19,PTEBACCNMOB_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,68%,NP,NP,34%,10%,NP,21%,,NP,,18%,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-5 passes
1805,KS4_19,PTEBACC_EEAL_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,87%,NP,NP,63%,47%,NP,48%,,NP,,49%,Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas
1806,KS4_19,PTEBACCEAL_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,73%,NP,NP,51%,16%,NP,38%,,NP,,29%,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-4 passes
1807,KS4_19,PTEBACCEAL_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,65%,NP,NP,43%,8%,NP,18%,,NP,,20%,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-5 passes
1808,KS4_19,PTEBACC_EFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,89%,NA,NA,32%,44%,NA,26%,NA,NA,,25%,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2017
1809,KS4_19,PTEBACC_94_FSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,89%,NA,NA,21%,14%,NA,18%,NA,NA,,12%,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-4 in 2017
1810,KS4_19,PTEBACC_95_FSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-5 in 2017
1811,KS4_19,PTEBACC_ENFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,91%,NA,NA,53%,55%,NA,29%,NA,NA,,43%,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2017
1812,KS4_19,PTEBACC_94_NFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,89%,NA,NA,21%,14%,NA,12%,NA,NA,,10%,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-4 in 2017
1813,KS4_19,PTEBACC_95_NFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-5 in 2017
1814,KS4_19,PTEBACC_EFSM6CLA1A_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,94%,NA,NA,50%,49%,NA,21%,NA,NA,,26%,% of disadvantaged pupils entering all English Baccalaureate subject areas in 2018
1815,KS4_19,PTEBACC_94_FSM6CLA1A_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,89%,NA,NA,37%,15%,NA,13%,NA,NA,,12%,% of disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018
1816,KS4_19,PTEBACC_95_FSM6CLA1A_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,83%,NA,NA,23%,11%,NA,11%,NA,NA,,7%,% of disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018
1817,KS4_19,PTEBACC_ENFSM6CLA1A_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,91%,NA,NA,64%,62%,NA,21%,NA,NA,,43%,% of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2018
1818,KS4_19,PTEBACC_94_NFSM6CLA1A_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,88%,NA,NA,55%,26%,NA,11%,NA,NA,,29%,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018
1819,KS4_19,PTEBACC_95_NFSM6CLA1A_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,80%,NA,NA,44%,13%,NA,5%,NA,NA,,20%,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018
