No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
2182,KS5_19,T_INSCOPE_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,62,,,,,83,12,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2183,KS5_19,PT_RETAINED_AGEN_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,94.7%,,,,,84.4%,80.0%,,,,,90.4%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2184,KS5_19,PT_RETAINED_AGEN_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7%,,,,,,,,,90.3%,,,,,90.4%,58.3%,,,,,88.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2185,KS5_19,T_INSCOPE_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,5,,,,,16,NE,,,,,12153,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2186,KS5_19,T_INSCOPE_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2,,,,,8,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2187,KS5_19,PT_RETAINED_TLEV_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,81.3%,NE,,,,,90.6%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2188,KS5_19,PT_RETAINED_TLEV_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3%,,,,,,,,,SUPP,,,,,87.5%,NE,,,,,90.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2189,KS5_19,T_INSCOPE_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,5,,,,,NE,NE,,,,,41142,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2190,KS5_19,T_INSCOPE_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2191,KS5_19,PT_RETAINED_TECHCERT_RET_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,NE,NE,,,,,88.3%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2192,KS5_19,PT_RETAINED_TECHCERT_RET_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,86.3%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2193,KS5_19,TALLPUP_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,62,,,,,56,32,,,,,139106,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2194,KS5_19,TALLPUP_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,54,,,,,52,52,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2195,KS5_19,TALLPUP_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,37,,,,,16,26,,,,,40882,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2196,KS5_19,TALLPUP_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,32,,,,,18,30,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2197,KS5_19,TALLPPE_ALEV_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,,,,,,,25.27,,,,,28.24,30.23,,,,,27.86,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2198,KS5_19,TALLPPE_ALEV_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08,,,,,,,,,23.79,,,,,23.93,25.81,,,,,27.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2199,KS5_19,TALLPPEGRD_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-,,,,,,,,,C-,,,,,C-,C,,,,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2200,KS5_19,TALLPPEGRD_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,D+,,,,,D+,C-,,,,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2201,KS5_19,TALLPUP_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,37,,,,,16,26,,,,,41606,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2202,KS5_19,TALLPUP_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,32,,,,,18,30,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2203,KS5_19,TALLPPE_ACAD_1618_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,,,,,,,25.27,,,,,28.24,30.23,,,,,27.96,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2204,KS5_19,TALLPPE_ACAD_1618_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08,,,,,,,,,23.79,,,,,23.68,25.81,,,,,27.19,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2205,KS5_19,TALLPPEGRD_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-,,,,,,,,,C-,,,,,C-,C,,,,,C-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2206,KS5_19,TALLPPEGRD_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,D+,,,,,D+,C-,,,,,C-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2207,KS5_19,TALLPUP_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,26,,,,,24,13,,,,,10491,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2208,KS5_19,TALLPUP_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,37,,,,,32,9,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2209,KS5_19,TALLPPE_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,30.07,,,,,24.15,29.44,,,,,27.27,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2210,KS5_19,TALLPPE_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,35.99,,,,,34.5,38.93,,,,,33.83,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2211,KS5_19,TALLPPEGRD_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,Dist-,,,,,Merit,Merit+,,,,,Merit+,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2212,KS5_19,TALLPPEGRD_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dist,,,,,,,,,Dist,,,,,Dist,Dist+,,,,,Dist,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2213,KS5_19,TALLPUP_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,8,NE,,,,,2985,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2214,KS5_19,TALLPUP_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,SUPP,,,,,SUPP,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2215,KS5_19,TALLPPE_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,28.08,NE,,,,,26.26,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2216,KS5_19,TALLPPE_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,SUPP,,,,,SUPP,NE,,,,,30.93,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2217,KS5_19,TALLPPEGRD_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,Merit+,NE,,,,,Merit,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2218,KS5_19,TALLPPEGRD_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,SUPP,,,,,SUPP,NE,,,,,Dist-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2219,KS5_19,TALLPUP_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,15,,,,,NE,NE,,,,,12343,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2220,KS5_19,TALLPUP_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2221,KS5_19,TALLPPE_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,4.71,,,,,NE,NE,,,,,5.72,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2222,KS5_19,TALLPPE_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,5.72,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2223,KS5_19,TALLPPEGRD_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,L2Pass-,,,,,NE,NE,,,,,L2Merit-,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2224,KS5_19,TALLPPEGRD_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,L2Merit-,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2225,KS5_19,T_AIMS_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,6,,,,,9,NE,,,,,3581,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2226,KS5_19,T_AIMS_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7,,,,,4,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2227,KS5_19,CA_SCORE_TLEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,0.64,NE,,,,,-0.25,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2228,KS5_19,CA_SCORE_TLEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,SUPP,,,,,SUPP,NE,,,,,-0.24,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2229,KS5_19,T_AIMS_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,19,,,,,NE,NE,,,,,6934,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2230,KS5_19,T_AIMS_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2231,KS5_19,CA_SCORE_TECHCERT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,-0.18,,,,,NE,NE,,,,,-0.12,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2232,KS5_19,CA_SCORE_TECHCERT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,NE,,,,,NE,NE,,,,,-0.14,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2233,KS5_19,T_SCOPEEX_E_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,21,,,,,23,SUPP,,,,,47613,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2234,KS5_19,T_SCOPEEX_E_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,13,,,,,26,17,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2235,KS5_19,PROGEX_E_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,0.24,,,,,0.53,SUPP,,,,,-0.09,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2236,KS5_19,PROGEX_E_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,0.69,,,,,0.69,0.65,,,,,-0.16,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2237,KS5_19,T_SCOPEEX_M_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,26,,,,,29,7,,,,,58707,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2238,KS5_19,T_SCOPEEX_M_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,19,,,,,34,14,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2239,KS5_19,PROGEX_M_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,0.33,,,,,0.10,0.09,,,,,-0.08,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2240,KS5_19,PROGEX_M_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,0.76,,,,,0.28,0.43,,,,,-0.12,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2241,KS5_19,ENTRIES_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,99,,,,,47,69,,,,,122816,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2242,KS5_19,ENTRIES_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,84,,,,,35,84,,,,,138829,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2243,KS5_19,VA_INS_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,,,,,,,,,-0.10,,,,,-0.14,0.44,,,,,-0.09,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2244,KS5_19,VA_INS_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92,,,,,,,,,0.00,,,,,-0.09,0.02,,,,,-0.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2245,KS5_19,UCI_INS_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.13,,,,,0.19,0.72,,,,,-0.08,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2246,KS5_19,UCI_INS_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,,,,0.26,,,,,0.30,0.29,,,,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2247,KS5_19,LCI_INS_ALEV_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,,,,,,,,,-0.33,,,,,-0.47,0.16,,,,,-0.10,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2248,KS5_19,LCI_INS_ALEV_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.38,,,,,,,,,-0.27,,,,,-0.48,-0.25,,,,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2249,KS5_19,ENTRIES_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,99,,,,,47,69,,,,,128633,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2250,KS5_19,ENTRIES_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,84,,,,,36,84,,,,,143775,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2251,KS5_19,VA_INS_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,,,,,,,,,-0.10,,,,,-0.14,0.44,,,,,-0.09,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2252,KS5_19,VA_INS_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92,,,,,,,,,0.00,,,,,-0.11,0.02,,,,,-0.07,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2253,KS5_19,UCI_INS_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.13,,,,,0.19,0.72,,,,,-0.08,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2254,KS5_19,UCI_INS_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,,,,0.26,,,,,0.28,0.29,,,,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2255,KS5_19,LCI_INS_ACAD_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,,,,,,,,,-0.33,,,,,-0.47,0.16,,,,,-0.10,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2256,KS5_19,LCI_INS_ACAD_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.38,,,,,,,,,-0.27,,,,,-0.49,-0.25,,,,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2257,KS5_19,ENTRIES_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,38,,,,,26,18,,,,,13321,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2258,KS5_19,ENTRIES_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,65,,,,,37,13,,,,,35969,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2259,KS5_19,VA_INS_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,0.24,,,,,-0.32,0.38,,,,,-0.03,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2260,KS5_19,VA_INS_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,0.08,,,,,-0.05,-0.02,,,,,-0.08,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2261,KS5_19,UCI_INS_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,0.50,,,,,0.05,0.75,,,,,-0.01,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2262,KS5_19,UCI_INS_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,0.39,,,,,0.34,0.67,,,,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2263,KS5_19,LCI_INS_AGEN_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,-0.02,,,,,-0.69,0.01,,,,,-0.04,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2264,KS5_19,LCI_INS_AGEN_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,-0.24,,,,,-0.43,-0.71,,,,,NA,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2265,KS5_19,T_INSCOPE_ALEV_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,29,,,,,13,25,,,,,41679,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2266,KS5_19,T_INSCOPE_ALEV_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,19,,,,,SUPP,21,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2267,KS5_19,PT_RETAINED_ALEV_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0%,,,,,,,,,96.6%,,,,,100.0%,92.0%,,,,,87.3%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2268,KS5_19,PT_RETAINED_ALEV_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,100.0%,,,,,SUPP,95.2%,,,,,91.6%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2269,KS5_19,T_INSCOPE_ACAD_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,29,,,,,13,25,,,,,42060,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2270,KS5_19,T_INSCOPE_ACAD_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,19,,,,,SUPP,21,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2271,KS5_19,PT_RETAINED_ACAD_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0%,,,,,,,,,96.6%,,,,,100.0%,92.0%,,,,,87.2%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2272,KS5_19,PT_RETAINED_ACAD_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,100.0%,,,,,SUPP,95.2%,,,,,91.6%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2273,KS5_19,T_INSCOPE_AGEN_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,10,,,,,19,SUPP,,,,,7677,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2274,KS5_19,T_INSCOPE_AGEN_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,32,,,,,39,6,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2275,KS5_19,PT_RETAINED_AGEN_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,100.0%,,,,,89.5%,SUPP,,,,,88.2%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2276,KS5_19,PT_RETAINED_AGEN_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9%,,,,,,,,,90.6%,,,,,87.2%,66.7%,,,,,85.6%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2277,KS5_19,T_INSCOPE_TLEV_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,7,NE,,,,,3106,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2278,KS5_19,T_INSCOPE_TLEV_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,SUPP,,,,,SUPP,NE,,,,,,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
2279,KS5_19,PT_RETAINED_TLEV_RET_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,SUPP,,,,,71.4%,NE,,,,,88.5%,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.
2280,KS5_19,PT_RETAINED_TLEV_RET_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,SUPP,,,,,SUPP,NE,,,,,87.5%,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.
