No,Namespace,Variable,Mayfield School - 103619,St John's & St Peter's CofE Academy - 138883,St Edmund's Catholic Primary School - 103440,West House School - 103575,Percy Shurmer Academy - 138410,St Francis Catholic Primary School - 103437,Anglesey Primary School - 132074,Adderley Primary School - 103159,Prince Albert Junior and Infant School - 142230,Mansfield Green E-ACT Academy - 138998,The Oratory Roman Catholic Primary School - 103427,Wyndcliffe Primary School - 141319,Christ Church CofE Controlled Primary School and Nursery - 103397,St George's School Edgbaston - 103564,Heath Mount Primary School - 103333,St Clement's Church of England Academy - 138432,The Lambs Christian School - 134091,St George's Church of England Primary School - 139267,The Wisdom Academy - 135882,St Patrick's Catholic Primary School - 103439,Manor Park Primary Academy - 141977,St Saviour's C of E Primary School - 103406,Al-Hijrah School - 133306,Iqra Girls High School - 145186,Ladypool Primary School - 103265,Heathfield Primary School - 142231,Hallfield School - 103568,Barford Primary School - 103162,Priory School - 103566,Holte School - 103509,Hazrat Khadijatul Kubra Girls School - 136123,Birmingham Independent College - 143418,Heritage Academy - 147038,King Edward VI Aston School - 137043,Mander Portman Woodward Independent College - 103587,Orion School - 147234,Future First Independent School - 135422,Green Heath School - 135688,R.Y.A.N Education Academy - 139706,Hopwood Hall School - 146780,Holy Trinity Catholic School - 103538,Holy Trinity Catholic School - 144719,Bordesley Green Girls' School & Sixth Form - 103493,Birchfield Independent Girls' School - 103591,Al Huda Girls' School - 103595,Small Heath Leadership Academy - 144464,Redstone Academy for Girls - 148157,Redstone  Academy for Boys - 137560,BOA Stage and Screen Production Academy - 148635,Joseph Chamberlain Sixth Form College - 130468,National state-funded primary,National state-funded secondary and 16 to 18,Description
1960,KS5_19,T_INSCOPE_ACAD_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,39,,,,143,NA,,,,,,,,111,NA,NA,,,,,490,,241598,Number of students at the end of 16-18 study with an academic core aim
1961,KS5_19,PT_RETAINED_ACAD_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,97.4%,,,,92.3%,NA,,,,,,,,98.2%,NA,NA,,,,,92.4%,,91.3%,Percentage of academic core aims retained
1962,KS5_19,PT_RET_ASSESSED_ACAD,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,92.3%,,,,91.6%,NA,,,,,,,,98.2%,NA,NA,,,,,92.4%,,89.3%,Percentage of academic core aims retained and assessed
1963,KS5_19,T_INSCOPE_ACAD_2NDYR,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,37,,,,139,NA,,,,,,,,109,NA,NA,,,,,483,,239235,Number of students in scope for returned and retained for a second year where core aim is an academic qualification
1964,KS5_19,PT_RETAINED_ACAD_2NDYR,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,94.6%,,,,92.1%,NA,,,,,,,,88.1%,NA,NA,,,,,71.0%,,84.5%,Percentage of students who were retained for a second year with an academic core aim
1965,KS5_19,T_INSCOPE_AGEN_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,42,,,,NE,NA,,,,,,,,38,NA,NA,,,,,27,,53841,Number of students at the end of 16-18 study with an applied general core aim
1966,KS5_19,PT_RETAINED_AGEN_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,97.6%,,,,NE,NA,,,,,,,,97.4%,NA,NA,,,,,77.8%,,86.5%,Percentage of applied general core aims retained
1967,KS5_19,PT_RET_ASSESSED_AGEN,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,92.9%,,,,NE,NA,,,,,,,,89.5%,NA,NA,,,,,77.8%,,79.3%,Percentage of applied general core aims retained and assessed
1968,KS5_19,T_INSCOPE_AGEN_2NDYR,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,42,,,,NE,NA,,,,,,,,38,NA,NA,,,,,27,,52609,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification
1969,KS5_19,PT_RETAINED_AGEN_2NDYR,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,92.9%,,,,NE,NA,,,,,,,,89.5%,NA,NA,,,,,66.7%,,75.3%,Percentage of students who were retained for a second year with an applied general core aim
1970,KS5_19,T_INSCOPE_TLEV_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,6,,,,NE,NA,,,,,,,,15,NA,NA,,,,,6,,20447,Number of students at the end of 16-18 study with a tech level core aim
1971,KS5_19,PT_RETAINED_TLEV_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,100.0%,,,,NE,NA,,,,,,,,73.3%,NA,NA,,,,,83.3%,,87.9%,Percentage of tech level core aims retained
1972,KS5_19,PT_RET_ASSESSED_TLEV,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,100.0%,,,,NE,NA,,,,,,,,73.3%,NA,NA,,,,,83.3%,,75.7%,Percentage of tech level core aims retained and assessed
1973,KS5_19,T_INSCOPE_TLEV_2NDYR,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,6,,,,NE,NA,,,,,,,,15,NA,NA,,,,,6,,19538,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification
1974,KS5_19,PT_RETAINED_TLEV_2NDYR,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,100.0%,,,,NE,NA,,,,,,,,73.3%,NA,NA,,,,,83.3%,,76.3%,Percentage of students who were retained for a second year with a tech level core aim
1975,KS5_19,T_AIMS_TLEV,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,7,,,,NE,NA,,,,,,,,13,NA,NA,,,,,6,,22634,Number of tech level aims
1976,KS5_19,CA_SCORE_TLEV,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,0.97,,,,NE,NA,,,,,,,,-0.12,NA,NA,,,,,1.00,,0.00,Completion and Attainment score
1977,KS5_19,TALLPUP_TECHCERT,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,,NE,NE,,,,NE,NE,,,,,,,,NE,NE,NE,,,,,NE,,5321,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification
1978,KS5_19,TALLPPE_TECHCERT,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,,NE,NE,,,,NE,NE,,,,,,,,NE,NE,NE,,,,,NE,,5.75,Average point score per technical certificate entry 
1979,KS5_19,TALLPPEGRD_TECHCERT,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,,NE,NE,,,,NE,NE,,,,,,,,NE,NE,NE,,,,,NE,,L2Merit-,Average point score per technical certificate entry expressed as a grade
1980,KS5_19,T_AIMS_TECHCERT,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,7808,Number of technical certificate aims in completion and attainment measure
1981,KS5_19,CA_SCORE_TECHCERT,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,0.00,Technical certificate completion and attainment score
1982,KS5_19,T_INSCOPE_TECHCERT_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,7745,Number of students in scope for retention measure where core aim is a tech cert programme
1983,KS5_19,PT_RETAINED_TECHCERT_RET,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,87.9%,Percentage of technical certificate core aims retained
1984,KS5_19,PT_RET_ASSESSED_TECHCERT,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,55.9%,Percentage of technical certificate core aims retained and assessed
1985,KS5_19,TALLPUP_ANYL2VOC,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,,NE,NE,,,,NE,NE,,,,,,,,NE,NE,NE,,,,,229,,89168,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2."
1986,KS5_19,TECHCERT_PER,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,,NE,NE,,,,NE,NE,,,,,,,,NE,NE,NE,,,,,0.0%,,5.2%,Percentage of level 2 vocational students that are technical certificate students
1987,KS5_19,TALLPUP_1618_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,62,,,,34,NA,,,,,,,,92,NA,NA,,,,,590,,137486,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1988,KS5_19,TALLPUP_ALEV_1618_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,38,,,,33,NA,,,,,,,,48,NA,NA,,,,,228,,38800,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification
1989,KS5_19,TALLPPE_ALEV_1618_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,24.36,,,,34.92,NA,,,,,,,,25.78,NA,NA,,,,,29.89,,28.70,Average point score per A level entry for disadvantaged students
1990,KS5_19,TALLPPEGRD_ALEV_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,D+,,,,C+,NA,,,,,,,,C-,NA,NA,,,,,C,,C,Average point score per A level entry for disadvantaged students expressed as a grade
1991,KS5_19,TALLPUP_ACAD_1618_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,46,,,,33,NA,,,,,,,,48,NA,NA,,,,,228,,39704,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1992,KS5_19,TALLPPE_ACAD_1618_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,24.55,,,,34.97,NA,,,,,,,,25.77,NA,NA,,,,,29.94,,28.77,Average point score per academic entry for disadvantaged students
1993,KS5_19,TALLPPEGRD_ACAD_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,D+,,,,C+,NA,,,,,,,,C-,NA,NA,,,,,C,,C,Average point score per academic entry for disadvantaged students expressed as a grade
1994,KS5_19,TALLPUP_AGEN_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,33,,,,NE,NA,,,,,,,,30,NA,NA,,,,,27,,15406,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry
1995,KS5_19,TALLPPE_AGEN_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,25.41,,,,NE,NA,,,,,,,,33.04,NA,NA,,,,,29.22,,27.72,Average point score per applied general entry for disadvantaged students
1996,KS5_19,TALLPPEGRD_AGEN_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,Merit,,,,NE,NA,,,,,,,,Dist-,NA,NA,,,,,Merit+,,Merit+,Average point score per applied general entry expressed as a grade for disadvantaged students
1997,KS5_19,TALLPUP_TLEV_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,4615,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry
1998,KS5_19,TALLPPE_TLEV_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,26.80,Average point score per tech level entry for disadvantaged students
1999,KS5_19,TALLPPEGRD_TLEV_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,Merit+,Average point score per tech level entry expressed as a grade for disadvantaged students
2000,KS5_19,T_SCOPEEX_E_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,19,NA,NA,,,,,85,,44702,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure
2001,KS5_19,PROGEX_E_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,0.47,NA,NA,,,,,0.28,,-0.03,Average progress made in English by disadvantaged students
2002,KS5_19,T_SCOPEEX_M_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,21,,,,NE,NA,,,,,,,,38,NA,NA,,,,,190,,57743,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure
2003,KS5_19,PROGEX_M_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,0.19,,,,NE,NA,,,,,,,,0.89,NA,NA,,,,,0.46,,-0.04,Average progress made in maths by disadvantaged students
2004,KS5_19,T_AIMS_TLEV_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,5,,,,NE,NA,,,,,,,,5,NA,NA,,,,,4,,5759,Number of Tech Level aims in completion and attainment for disadvantaged students
2005,KS5_19,CA_SCORE_TLEV_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,-0.25,Tech Level completion and attainment score for disadvantaged students
2006,KS5_19,T_INSCOPE_ALEV_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,27,,,,33,NA,,,,,,,,46,NA,NA,,,,,240,,38266,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification
2007,KS5_19,PT_RETAINED_ALEV_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,100.0%,,,,90.9%,NA,,,,,,,,97.8%,NA,NA,,,,,93.3%,,85.5%,Percentage of disadvantaged students who completed an A level core aim for retention measure
2008,KS5_19,T_INSCOPE_ACAD_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,27,,,,33,NA,,,,,,,,46,NA,NA,,,,,240,,38645,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification
2009,KS5_19,PT_RETAINED_ACAD_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,100.0%,,,,90.9%,NA,,,,,,,,97.8%,NA,NA,,,,,93.3%,,85.4%,Percentage of disadvantaged students who completed an academic core aim for retention measure
2010,KS5_19,T_INSCOPE_AGEN_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,28,,,,NE,NA,,,,,,,,22,NA,NA,,,,,15,,13918,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification
2011,KS5_19,PT_RETAINED_AGEN_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,96.4%,,,,NE,NA,,,,,,,,100.0%,NA,NA,,,,,86.7%,,83.0%,Percentage of disadvantaged students who completed an applied general core aim for retention measure
2012,KS5_19,T_INSCOPE_TLEV_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,7,NA,NA,,,,,SUPP,,5272,Number of disadvantaged students in scope for retention measure where core aim is a tech level qualification
2013,KS5_19,PT_RETAINED_TLEV_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,57.1%,NA,NA,,,,,SUPP,,84.6%,Percentage of disadvantaged students who completed a tech level core aim for retention measure
2014,KS5_19,TALLPUP_TECHCERT_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,1601,Number of disadvantaged students at the end of 16-18 study entered for at least one technical certificate qualification 
2015,KS5_19,TALLPPE_TECHCERT_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,5.60,Average point score per technical certificate entry for disadvantaged students
2016,KS5_19,TALLPPEGRD_TECHCERT_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,L2Merit-,Average point score per technical certificate entry expressed as a grade for disadvantaged students
2017,KS5_19,T_AIMS_TECHCERT_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,2613,Number of technical certificate aims in completion and attainment measure for disadvantaged students
2018,KS5_19,CA_SCORE_TECHCERT_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,-0.10,Technical certificate completion and attainment score for disadvantaged students
2019,KS5_19,T_INSCOPE_TECHCERT_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,2689,Number of disadvantaged students in scope for retention measure where core aim is a technical certificate programme
2020,KS5_19,PT_RETAINED_TECHCERT_RET_DIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,84.9%,Percentage of disadvantaged students who completed a technical certificate core aim for retention measure
2021,KS5_19,TALLPUP_1618_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,30,,,,113,NA,,,,,,,,91,NA,NA,,,,,495,,395647,Number of non-disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
2022,KS5_19,TALLPUP_ALEV_1618_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,22,,,,109,NA,,,,,,,,67,NA,NA,,,,,228,,205725,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one A level qualification
2023,KS5_19,TALLPPE_ALEV_1618_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,18.21,,,,36.61,NA,,,,,,,,26.13,NA,NA,,,,,30.83,,33.58,Average point score per A level entry for non-disadvantaged students
2024,KS5_19,TALLPPEGRD_ALEV_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,D-,,,,B-,NA,,,,,,,,C-,NA,NA,,,,,C,,C+,Average point score per A level entry for non-disadvantaged students expressed as a grade
2025,KS5_19,TALLPUP_ACAD_1618_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,23,,,,109,NA,,,,,,,,67,NA,NA,,,,,228,,209238,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one academic qualification
2026,KS5_19,TALLPPE_ACAD_1618_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,18.39,,,,36.85,NA,,,,,,,,26.22,NA,NA,,,,,30.76,,33.74,Average point score per academic entry for non-disadvantaged students
2027,KS5_19,TALLPPEGRD_ACAD_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,D,,,,B-,NA,,,,,,,,C-,NA,NA,,,,,C,,C+,Average point score per academic entry for non-disadvantaged students expressed as a grade
2028,KS5_19,TALLPUP_AGEN_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,22,,,,NE,NA,,,,,,,,24,NA,NA,,,,,17,,51573,Number of non-disadvantaged students at the end of 16-18 study who entered at lest one applied general qualification
2029,KS5_19,TALLPPE_AGEN_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,29.44,,,,NE,NA,,,,,,,,35.05,NA,NA,,,,,29.56,,29.26,Average point score per applied general entry for non-disadvantaged students
2030,KS5_19,TALLPPEGRD_AGEN_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,Merit+,,,,NE,NA,,,,,,,,Dist,NA,NA,,,,,Merit+,,Merit+,Average point score per applied general entry expressed as a grade for non-disadvantaged students
2031,KS5_19,TALLPUP_TLEV_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,14612,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one tech level qualification
2032,KS5_19,TALLPPE_TLEV_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,29.20,Average point score per tech level entry for non-disadvantaged students
2033,KS5_19,TALLPPEGRD_TLEV_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,Merit+,Average point score per tech level entry expressed as a grade for non-disadvantaged students
2034,KS5_19,T_SCOPEEX_E_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,8,NA,NA,,,,,67,,61050,Number of non-disadvantaged students at the end of 16-18 study in scope for English progress measure
2035,KS5_19,PROGEX_E_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,0.76,NA,NA,,,,,0.51,,0.25,Average progress made in English by non-disadvantaged students
2036,KS5_19,T_SCOPEEX_M_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,6,,,,NE,NA,,,,,,,,11,NA,NA,,,,,129,,82479,Number of non-disadvantaged students at the end of 16-18 study in scope for maths progress measure
2037,KS5_19,PROGEX_M_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,0.17,,,,NE,NA,,,,,,,,1.09,NA,NA,,,,,0.39,,0.17,Average progress made in maths by non-disadvantaged students
2038,KS5_19,T_AIMS_TLEV_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,2,,,,NE,NA,,,,,,,,8,NA,NA,,,,,2,,16642,Number of Tech Level aims in completion and attainment for non-disadvantaged students
2039,KS5_19,CA_SCORE_TLEV_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,SUPP,NA,NA,,,,,SUPP,,0.08,Tech Level completion and attainment score for non-disadvantaged students
2040,KS5_19,T_INSCOPE_ALEV_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,12,,,,108,NA,,,,,,,,62,NA,NA,,,,,242,,197831,Number of non-disadvantaged students in scope for retention measure where core aim is an A level qualification
2041,KS5_19,PT_RETAINED_ALEV_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,91.7%,,,,92.6%,NA,,,,,,,,98.4%,NA,NA,,,,,91.3%,,92.5%,Percentage of non-disadvantaged students who completed an A level core aim for retention measure
2042,KS5_19,T_INSCOPE_ACAD_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,12,,,,108,NA,,,,,,,,62,NA,NA,,,,,242,,199716,Number of non-disadvantaged students in scope for retention measure where core aim is an academic qualification
2043,KS5_19,PT_RETAINED_ACAD_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,91.7%,,,,92.6%,NA,,,,,,,,98.4%,NA,NA,,,,,91.3%,,92.4%,Percentage of non-disadvantaged students who completed an academic core aim for retention measure
2044,KS5_19,T_INSCOPE_AGEN_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,14,,,,NE,NA,,,,,,,,15,NA,NA,,,,,12,,39337,Number of non-disadvantaged students in scope for retention measure where core aim is an applied general qualification
2045,KS5_19,PT_RETAINED_AGEN_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,100.0%,,,,NE,NA,,,,,,,,100.0%,NA,NA,,,,,66.7%,,87.8%,Percentage of non-disadvantaged students who completed an Applied General core aim for retention measure
2046,KS5_19,T_INSCOPE_TLEV_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,8,NA,NA,,,,,SUPP,,14967,Number of non-disadvantaged students in scope for retention measure where core aim is a tech level qualification
2047,KS5_19,PT_RETAINED_TLEV_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,SUPP,,,,NE,NA,,,,,,,,87.5%,NA,NA,,,,,SUPP,,89.1%,Percentage of non-disadvantaged students who completed a tech level core aim for retention measure
2048,KS5_19,TALLPUP_TECHCERT_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,3620,Number of non-disadvantaged students at the end of 16-18 study with a technical certificate qualification entry
2049,KS5_19,TALLPPE_TECHCERT_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,5.81,Average point score per technical certificate entry for non-disadvantaged students
2050,KS5_19,TALLPPEGRD_TECHCERT_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,L2Merit-,Average point score per technical certificate entry expressed as a grade for non-disadvantaged students
2051,KS5_19,T_AIMS_TECHCERT_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,5062,Number of technical certificate aims in completion and attainment for non-disadvantaged students
2052,KS5_19,CA_SCORE_TECHCERT_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,0.05,Technical certificate completion and attainment score for non-disadvantaged students
2053,KS5_19,T_INSCOPE_TECHCERT_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,4910,Number of non-disadvantaged students in scope for retention measure where core aim is a technical certificate programme
2054,KS5_19,PT_RETAINED_TECHCERT_RET_NOTDIS,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NE,,,,NE,NA,,,,,,,,NE,NA,NA,,,,,NE,,89.4%,Percentage of non-disadvantaged students who completed a technical certificate core aim for retention measure
2055,KS5_19,ENTRIES_ALEV,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,26,111,,,,402,251,,,,,,,,409,SUPP,NA,,,,,1474,,699844,Number of A level entries included in value added measure
2056,KS5_19,VA_INS_ALEV,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,-0.24,-0.61,,,,-0.04,0.36,,,,,,,,0.12,SUPP,NA,,,,,0.13,,-0.02,A level value added score
2057,KS5_19,UCI_INS_ALEV,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,0.18,-0.42,,,,0.07,0.5,,,,,,,,0.22,SUPP,NA,,,,,0.19,,-0.02,A level  value added upper confidence limit
2058,KS5_19,LCI_INS_ALEV,,,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,-0.66,-0.81,,,,-0.15,0.23,,,,,,,,0.01,SUPP,NA,,,,,0.07,,-0.02,A level value added lower confidence limit
2059,KS5_19,PROGRESS_BAND_ALEV,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,5,,,,3,2,,,,,,,,2,NA,NA,,,,,2,,NA,A level progress band
2060,KS5_19,ENTRIES_ACAD,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,31,128,,,,428,268,,,,,,,,434,SUPP,NA,,,,,1499,,748903,Number of academic entries included in value added measure
2061,KS5_19,VA_INS_ACAD,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,-0.27,-0.57,,,,-0.04,0.37,,,,,,,,0.11,SUPP,NA,,,,,0.13,,-0.02,Academic value added score
2062,KS5_19,UCI_INS_ACAD,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,0.13,-0.39,,,,0.07,0.51,,,,,,,,0.21,SUPP,NA,,,,,0.19,,-0.02,Academic value added upper confidence limit
