No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
1954,KS5_19,L3M_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,31.7%,,,,19.4%,14.4%,52.8%,83.0%,,,26.7%,Percentage of students in scope for the level 3 maths measure who achieved approved a level 3 maths qualification
1955,KS5_19,T_INSCOPE_ALEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,126,,,,30,84,162,138,,,239124,Number of students at the end of 16-18 study with an A level core aim
1956,KS5_19,PT_RETAINED_ALEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98.4%,,,,86.7%,100.0%,100.0%,99.3%,,,91.3%,Percentage of A level core aims retained
1957,KS5_19,PT_RET_ASSESSED_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98.4%,,,,83.3%,98.8%,98.8%,98.6%,,,89.5%,Percentage of A Level core aims retained and assessed
1958,KS5_19,T_INSCOPE_ALEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,126,,,,30,84,162,138,,,236838,Number of students in scope for returned and retained for a second year where core aim is an A Level
1959,KS5_19,PT_RETAINED_ALEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,88.1%,,,,83.3%,95.2%,99.4%,98.6%,,,84.7%,Percentage of students who were retained for a second year with an A Level programme core aim
1960,KS5_19,T_INSCOPE_ACAD_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,126,,,,30,84,162,138,,,241598,Number of students at the end of 16-18 study with an academic core aim
1961,KS5_19,PT_RETAINED_ACAD_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98.4%,,,,86.7%,100.0%,100.0%,99.3%,,,91.3%,Percentage of academic core aims retained
1962,KS5_19,PT_RET_ASSESSED_ACAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98.4%,,,,83.3%,98.8%,98.8%,98.6%,,,89.3%,Percentage of academic core aims retained and assessed
1963,KS5_19,T_INSCOPE_ACAD_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,126,,,,30,84,162,138,,,239235,Number of students in scope for returned and retained for a second year where core aim is an academic qualification
1964,KS5_19,PT_RETAINED_ACAD_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,88.1%,,,,83.3%,95.2%,99.4%,98.6%,,,84.5%,Percentage of students who were retained for a second year with an academic core aim
1965,KS5_19,T_INSCOPE_AGEN_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,8,80,NE,NE,,,53841,Number of students at the end of 16-18 study with an applied general core aim
1966,KS5_19,PT_RETAINED_AGEN_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,87.5%,91.3%,NE,NE,,,86.5%,Percentage of applied general core aims retained
1967,KS5_19,PT_RET_ASSESSED_AGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,87.5%,88.8%,NE,NE,,,79.3%,Percentage of applied general core aims retained and assessed
1968,KS5_19,T_INSCOPE_AGEN_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,8,80,NE,NE,,,52609,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification
1969,KS5_19,PT_RETAINED_AGEN_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,87.5%,88.8%,NE,NE,,,75.3%,Percentage of students who were retained for a second year with an applied general core aim
1970,KS5_19,T_INSCOPE_TLEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,4,,,,4,NE,NE,NE,,,20447,Number of students at the end of 16-18 study with a tech level core aim
1971,KS5_19,PT_RETAINED_TLEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,87.9%,Percentage of tech level core aims retained
1972,KS5_19,PT_RET_ASSESSED_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,75.7%,Percentage of tech level core aims retained and assessed
1973,KS5_19,T_INSCOPE_TLEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,4,,,,3,NE,NE,NE,,,19538,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification
1974,KS5_19,PT_RETAINED_TLEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,76.3%,Percentage of students who were retained for a second year with a tech level core aim
1975,KS5_19,T_AIMS_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,4,,,,4,NE,NE,NE,,,22634,Number of tech level aims
1976,KS5_19,CA_SCORE_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,0.00,Completion and Attainment score
1977,KS5_19,TALLPUP_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,,,,NE,NE,NE,NE,,,5321,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification
1978,KS5_19,TALLPPE_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,,,,NE,NE,NE,NE,,,5.75,Average point score per technical certificate entry 
1979,KS5_19,TALLPPEGRD_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,,,,NE,NE,NE,NE,,,L2Merit-,Average point score per technical certificate entry expressed as a grade
1980,KS5_19,T_AIMS_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,7808,Number of technical certificate aims in completion and attainment measure
1981,KS5_19,CA_SCORE_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,0.00,Technical certificate completion and attainment score
1982,KS5_19,T_INSCOPE_TECHCERT_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,7745,Number of students in scope for retention measure where core aim is a tech cert programme
1983,KS5_19,PT_RETAINED_TECHCERT_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,87.9%,Percentage of technical certificate core aims retained
1984,KS5_19,PT_RET_ASSESSED_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,55.9%,Percentage of technical certificate core aims retained and assessed
1985,KS5_19,TALLPUP_ANYL2VOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,,,,NE,NE,NE,NE,,,89168,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2."
1986,KS5_19,TECHCERT_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,NE,,,,NE,NE,NE,NE,,,5.2%,Percentage of level 2 vocational students that are technical certificate students
1987,KS5_19,TALLPUP_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,33,,,,33,45,24,27,,,137486,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1988,KS5_19,TALLPUP_ALEV_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,30,,,,22,34,24,25,,,38800,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification
1989,KS5_19,TALLPPE_ALEV_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,31.69,,,,21.84,27.72,40.64,46.47,,,28.70,Average point score per A level entry for disadvantaged students
1990,KS5_19,TALLPPEGRD_ALEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,C+,,,,D+,C-,B,A-,,,C,Average point score per A level entry for disadvantaged students expressed as a grade
1991,KS5_19,TALLPUP_ACAD_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,30,,,,22,34,24,25,,,39704,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1992,KS5_19,TALLPPE_ACAD_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,31.68,,,,22.33,27.72,40.84,46.53,,,28.77,Average point score per academic entry for disadvantaged students
1993,KS5_19,TALLPPEGRD_ACAD_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,C+,,,,D+,C-,B,A-,,,C,Average point score per academic entry for disadvantaged students expressed as a grade
1994,KS5_19,TALLPUP_AGEN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,15,28,NE,NE,,,15406,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry
1995,KS5_19,TALLPPE_AGEN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,26.45,31.29,NE,NE,,,27.72,Average point score per applied general entry for disadvantaged students
1996,KS5_19,TALLPPEGRD_AGEN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,Merit,Dist-,NE,NE,,,Merit+,Average point score per applied general entry expressed as a grade for disadvantaged students
1997,KS5_19,TALLPUP_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,NE,NE,NE,,,4615,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry
1998,KS5_19,TALLPPE_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,NE,NE,NE,,,26.80,Average point score per tech level entry for disadvantaged students
1999,KS5_19,TALLPPEGRD_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,NE,NE,NE,,,Merit+,Average point score per tech level entry expressed as a grade for disadvantaged students
2000,KS5_19,T_SCOPEEX_E_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,NE,NE,NE,,,44702,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure
2001,KS5_19,PROGEX_E_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,NE,NE,NE,,,-0.03,Average progress made in English by disadvantaged students
2002,KS5_19,T_SCOPEEX_M_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,6,NE,NE,,,57743,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure
2003,KS5_19,PROGEX_M_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,0.67,NE,NE,,,-0.04,Average progress made in maths by disadvantaged students
2004,KS5_19,T_AIMS_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,1,,,,3,NE,NE,NE,,,5759,Number of Tech Level aims in completion and attainment for disadvantaged students
2005,KS5_19,CA_SCORE_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,-0.25,Tech Level completion and attainment score for disadvantaged students
2006,KS5_19,T_INSCOPE_ALEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,28,,,,21,27,24,27,,,38266,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification
2007,KS5_19,PT_RETAINED_ALEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,100.0%,,,,81.0%,100.0%,100.0%,96.3%,,,85.5%,Percentage of disadvantaged students who completed an A level core aim for retention measure
2008,KS5_19,T_INSCOPE_ACAD_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,28,,,,21,27,24,27,,,38645,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification
2009,KS5_19,PT_RETAINED_ACAD_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,100.0%,,,,81.0%,100.0%,100.0%,96.3%,,,85.4%,Percentage of disadvantaged students who completed an academic core aim for retention measure
2010,KS5_19,T_INSCOPE_AGEN_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,17,NE,NE,,,13918,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification
2011,KS5_19,PT_RETAINED_AGEN_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,88.2%,NE,NE,,,83.0%,Percentage of disadvantaged students who completed an applied general core aim for retention measure
2012,KS5_19,T_INSCOPE_TLEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,5272,Number of disadvantaged students in scope for retention measure where core aim is a tech level qualification
2013,KS5_19,PT_RETAINED_TLEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,84.6%,Percentage of disadvantaged students who completed a tech level core aim for retention measure
2014,KS5_19,TALLPUP_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,1601,Number of disadvantaged students at the end of 16-18 study entered for at least one technical certificate qualification 
2015,KS5_19,TALLPPE_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,5.60,Average point score per technical certificate entry for disadvantaged students
2016,KS5_19,TALLPPEGRD_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,L2Merit-,Average point score per technical certificate entry expressed as a grade for disadvantaged students
2017,KS5_19,T_AIMS_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,2613,Number of technical certificate aims in completion and attainment measure for disadvantaged students
2018,KS5_19,CA_SCORE_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,-0.10,Technical certificate completion and attainment score for disadvantaged students
2019,KS5_19,T_INSCOPE_TECHCERT_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,2689,Number of disadvantaged students in scope for retention measure where core aim is a technical certificate programme
2020,KS5_19,PT_RETAINED_TECHCERT_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,84.9%,Percentage of disadvantaged students who completed a technical certificate core aim for retention measure
2021,KS5_19,TALLPUP_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,103,,,,17,120,139,111,,,395647,Number of non-disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
2022,KS5_19,TALLPUP_ALEV_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,100,,,,12,79,138,110,,,205725,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one A level qualification
2023,KS5_19,TALLPPE_ALEV_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,29.35,,,,22.90,28.97,44.05,46.70,,,33.58,Average point score per A level entry for non-disadvantaged students
2024,KS5_19,TALLPPEGRD_ALEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,C,,,,D+,C,B+,A-,,,C+,Average point score per A level entry for non-disadvantaged students expressed as a grade
2025,KS5_19,TALLPUP_ACAD_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,100,,,,12,79,138,110,,,209238,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one academic qualification
2026,KS5_19,TALLPPE_ACAD_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,29.41,,,,23.13,28.97,44.17,46.79,,,33.74,Average point score per academic entry for non-disadvantaged students
2027,KS5_19,TALLPPEGRD_ACAD_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,C,,,,D+,C,B+,A-,,,C+,Average point score per academic entry for non-disadvantaged students expressed as a grade
2028,KS5_19,TALLPUP_AGEN_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,8,86,NE,NE,,,51573,Number of non-disadvantaged students at the end of 16-18 study who entered at lest one applied general qualification
2029,KS5_19,TALLPPE_AGEN_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,23.48,31.38,NE,NE,,,29.26,Average point score per applied general entry for non-disadvantaged students
2030,KS5_19,TALLPPEGRD_AGEN_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,Merit,Dist-,NE,NE,,,Merit+,Average point score per applied general entry expressed as a grade for non-disadvantaged students
2031,KS5_19,TALLPUP_TLEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,NE,NE,NE,NE,,,14612,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one tech level qualification
2032,KS5_19,TALLPPE_TLEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,NE,NE,NE,NE,,,29.20,Average point score per tech level entry for non-disadvantaged students
2033,KS5_19,TALLPPEGRD_TLEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,NE,NE,NE,NE,,,Merit+,Average point score per tech level entry expressed as a grade for non-disadvantaged students
2034,KS5_19,T_SCOPEEX_E_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,SUPP,NE,NE,,,61050,Number of non-disadvantaged students at the end of 16-18 study in scope for English progress measure
2035,KS5_19,PROGEX_E_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,SUPP,NE,NE,,,0.25,Average progress made in English by non-disadvantaged students
2036,KS5_19,T_SCOPEEX_M_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,18,NE,NE,,,82479,Number of non-disadvantaged students at the end of 16-18 study in scope for maths progress measure
2037,KS5_19,PROGEX_M_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,0.76,NE,NE,,,0.17,Average progress made in maths by non-disadvantaged students
2038,KS5_19,T_AIMS_TLEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,3,,,,1,NE,NE,NE,,,16642,Number of Tech Level aims in completion and attainment for non-disadvantaged students
2039,KS5_19,CA_SCORE_TLEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,0.08,Tech Level completion and attainment score for non-disadvantaged students
2040,KS5_19,T_INSCOPE_ALEV_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98,,,,9,57,137,110,,,197831,Number of non-disadvantaged students in scope for retention measure where core aim is an A level qualification
2041,KS5_19,PT_RETAINED_ALEV_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98.0%,,,,100.0%,100.0%,100.0%,100.0%,,,92.5%,Percentage of non-disadvantaged students who completed an A level core aim for retention measure
2042,KS5_19,T_INSCOPE_ACAD_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98,,,,9,57,137,110,,,199716,Number of non-disadvantaged students in scope for retention measure where core aim is an academic qualification
2043,KS5_19,PT_RETAINED_ACAD_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,98.0%,,,,100.0%,100.0%,100.0%,100.0%,,,92.4%,Percentage of non-disadvantaged students who completed an academic core aim for retention measure
2044,KS5_19,T_INSCOPE_AGEN_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,63,NE,NE,,,39337,Number of non-disadvantaged students in scope for retention measure where core aim is an applied general qualification
2045,KS5_19,PT_RETAINED_AGEN_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,SUPP,92.1%,NE,NE,,,87.8%,Percentage of non-disadvantaged students who completed an Applied General core aim for retention measure
2046,KS5_19,T_INSCOPE_TLEV_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,14967,Number of non-disadvantaged students in scope for retention measure where core aim is a tech level qualification
2047,KS5_19,PT_RETAINED_TLEV_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,SUPP,,,,SUPP,NE,NE,NE,,,89.1%,Percentage of non-disadvantaged students who completed a tech level core aim for retention measure
2048,KS5_19,TALLPUP_TECHCERT_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,3620,Number of non-disadvantaged students at the end of 16-18 study with a technical certificate qualification entry
2049,KS5_19,TALLPPE_TECHCERT_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,5.81,Average point score per technical certificate entry for non-disadvantaged students
2050,KS5_19,TALLPPEGRD_TECHCERT_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,L2Merit-,Average point score per technical certificate entry expressed as a grade for non-disadvantaged students
2051,KS5_19,T_AIMS_TECHCERT_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,5062,Number of technical certificate aims in completion and attainment for non-disadvantaged students
2052,KS5_19,CA_SCORE_TECHCERT_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,0.05,Technical certificate completion and attainment score for non-disadvantaged students
2053,KS5_19,T_INSCOPE_TECHCERT_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,4910,Number of non-disadvantaged students in scope for retention measure where core aim is a technical certificate programme
2054,KS5_19,PT_RETAINED_TECHCERT_RET_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NE,,,,NE,NE,NE,NE,,,89.4%,Percentage of non-disadvantaged students who completed a technical certificate core aim for retention measure
2055,KS5_19,ENTRIES_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,374,,,,76,321,629,443,,,699844,Number of A level entries included in value added measure
2056,KS5_19,VA_INS_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,-0.33,,,,-0.74,0.06,-0.2,0.09,,,-0.02,A level value added score
2057,KS5_19,UCI_INS_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,-0.22,,,,-0.5,0.18,-0.12,0.2,,,-0.02,A level  value added upper confidence limit
2058,KS5_19,LCI_INS_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,-0.44,,,,-0.99,-0.06,-0.29,-0.02,,,-0.02,A level value added lower confidence limit
2059,KS5_19,PROGRESS_BAND_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,4,,,,5,3,4,3,,,NA,A level progress band
2060,KS5_19,ENTRIES_ACAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,384,,,,82,321,663,467,,,748903,Number of academic entries included in value added measure
2061,KS5_19,VA_INS_ACAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,-0.32,,,,-0.72,0.06,-0.2,0.09,,,-0.02,Academic value added score
