No,Namespace,Variable,Hall Green Infant School - 103210,Firs Primary School - 143089,Warren Farm Primary School - 138303,Woodhouse Primary Academy - 139637,Stirchley Primary School - 143433,Lightwoods Primary School - 103947,Hall Green Junior School - 103209,Paganel Primary School - 134281,Billesley Primary School - 138888,Paget Primary School - 103240,Lightwoods Primary Academy - 148333,Audley Primary School - 143437,St Wilfrid's Catholic Junior and Infant School - 103451,St Wilfrid's Catholic Junior and Infant School - 148083,The Oaklands Primary School - 139183,Christ The King Catholic Primary School - 103423,Calshot Primary School - 103391,Hamstead Junior School - 103895,Kingsthorne Primary School - 103368,Ferndale Primary School - 103982,Hamstead Infant School - 103896,Heathlands Primary Academy - 140890,Barr View Primary & Nursery Academy - 138694,Our Lady and St Rose of Lima Catholic Primary School - 103443,Jervoise School - 142353,Allens Croft Primary School - 103243,Woodthorpe Junior and Infant School - 103334,Lyndon Green Junior School - 103228,Yenton Primary School - 133729,Yenton Primary School - 146722,World's End Infant and Nursery School - 103337,World's End Junior School - 103279,Holy Trinity CofE Primary School - 103986,Our Lady of Lourdes Catholic Primary School - 103430,Lyndon Green Infant School - 103229,Lakey Lane Junior and Infant School - 103223,Gunter Primary School - 103208,Moat Farm Junior School - 103948,Moat Farm Infant School - 103949,Bleakhouse Primary School - 103934,George Betts Primary Academy - 139565,Holly Lodge High School College of Science - 104018,Kings Heath Boys - 103486,St Edmund Campion Catholic School & Sixth Form Centre - 103537,St Edmund Campion Catholic School - 147707,Bristnall Hall Academy - 139043,Dame Elizabeth Cadbury School - 143438,Fortis Academy - 143435,Cockshut Hill School - 142388,TLG North Birmingham - 135608,National state-funded primary,National state-funded secondary and 16 to 18,Description
1751,KS4_19,HUMVAMEA_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92,-0.11,0.42,,-0.02,0.52,-0.66,-0.15,,,-0.01,English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1752,KS4_19,HUMVAMEA_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,-1.37,0.23,,-0.38,0.81,-0.87,-0.5,,,0.01,English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1753,KS4_19,HUMVAMEA_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,-0.77,0.09,,-0.35,0.62,-0.98,-0.1,,,-0.47,English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1754,KS4_19,HUMVAMEA_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,-0.36,0.51,,0.03,0.6,-0.3,-0.3,,,0.15,English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1755,KS4_19,LANVAMEA_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,,2.04,SUPP,SUPP,SUPP,,,0,English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1756,KS4_19,LANVAMEA_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,SUPP,2.63,,0.97,-0.32,0.24,-0.04,,,0,English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1757,KS4_19,LANVAMEA_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,1.15,1.55,,0.12,-0.24,-0.27,-0.21,,,0,English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1758,KS4_19,LANVAMEA_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.68,SUPP,,0.51,-0.43,0.4,0.22,,,-0.19,English Baccalaureate Languages Value Added measure for disadvantaged pupils
1759,KS4_19,LANVAMEA_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,1.96,2.45,,0.82,0.15,-0.14,-0.28,,,0.05,English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1760,KS4_19,SCIVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,-0.03,0.09,,0.21,0.27,-0.25,0.14,,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils
1761,KS4_19,SCIVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,-0.7,-0.63,,-0.48,-0.62,-0.79,-0.45,,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils
1762,KS4_19,SCIVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,0.42,0.48,,0.44,0.54,0.06,0.31,,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1763,KS4_19,SCIVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-0.55,-0.11,,-0.13,-0.17,-0.45,-0.37,,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils
1764,KS4_19,SCIVAUPP_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.6,0.85,,0.52,0.77,0.75,0.28,,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment
1765,KS4_19,SCIVALOW_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,-0.83,-0.45,,-0.41,-0.57,-0.38,-0.67,,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment
1766,KS4_19,SCIVAUPP_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,0.34,0.44,,0.4,0.45,-0.17,0.34,,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1767,KS4_19,SCIVALOW_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,-0.47,-0.18,,-0.21,-0.39,-0.65,-0.3,,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment
1768,KS4_19,SCIVAUPP_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.14,0.13,,0.34,0.48,-0.08,0.18,,,,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment
1769,KS4_19,SCIVALOW_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,-1.03,-0.63,,-0.51,-0.42,-0.76,-0.68,,,,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment
1770,KS4_19,HUMVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,-0.27,0.61,,0.07,1.22,-0.65,0.29,,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1771,KS4_19,HUMVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.21,-1.27,-0.42,,-0.77,0.01,-1.32,-0.49,,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils
1772,KS4_19,HUMVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,0.42,0.91,,0.38,1.1,0.02,0.14,,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1773,KS4_19,HUMVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97,-1.14,0.12,,-0.32,0.1,-0.62,-0.74,,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils
1774,KS4_19,HUMVAUPP_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.79,1.54,,0.51,1.37,0.94,0.82,,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1775,KS4_19,HUMVALOW_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-1.25,-0.5,,-0.64,-0.89,-0.45,-0.48,,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment
1776,KS4_19,HUMVAUPP_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,0.54,0.85,,0.35,1.08,-0.36,0.26,,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1777,KS4_19,HUMVALOW_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.28,-0.76,-0.01,,-0.4,-0.05,-0.96,-0.56,,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment
1778,KS4_19,HUMVAUPP_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,-0.72,0.74,,0.14,1.41,-0.45,0.03,,,,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1779,KS4_19,HUMVALOW_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.17,-2.02,-0.27,,-0.89,0.21,-1.29,-1.04,,,,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment
1780,KS4_19,LANVAUPP_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.94,SUPP,,1.13,0.6,1.2,0.92,,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils
1781,KS4_19,LANVALOW_FSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.29,-0.58,SUPP,,-0.12,-1.46,-0.4,-0.48,,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils
1782,KS4_19,LANVAUPP_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,3.31,3.4,,1.3,0.84,0.49,0.44,,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1783,KS4_19,LANVALOW_NFSM6CLA1A_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,0.62,1.5,,0.34,-0.55,-0.77,-1.01,,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils
1784,KS4_19,LANVAUPP_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,,3.3,SUPP,SUPP,SUPP,,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1785,KS4_19,LANVALOW_LO_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,,0.78,SUPP,SUPP,SUPP,,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment
1786,KS4_19,LANVAUPP_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,SUPP,3.97,,1.52,0.58,1.04,0.78,,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1787,KS4_19,LANVALOW_AV_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.57,SUPP,1.28,,0.42,-1.21,-0.56,-0.85,,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment
1788,KS4_19,LANVAUPP_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,2.23,2.9,,0.7,0.56,0.39,0.49,,,,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1789,KS4_19,LANVALOW_HI_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.17,0.08,0.2,,-0.46,-1.04,-0.94,-0.91,,,,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment
1790,KS4_19,PTEBACC_E_17_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,20%,11%,,58%,28%,11%,NA,,,38%,Percentage of pupils entering all English Baccalaureate subject areas in 2017
1791,KS4_19,PTEBACC_94_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,7%,2%,,19%,14%,5%,NA,,,24%,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2017
1792,KS4_19,PTEBACC_95_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,7%,2%,,18%,12%,3%,NA,,,21%,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2017
1793,KS4_19,PTEBACC_E_18_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,24%,11%,,59%,39%,12%,26%,,,38%,% of  pupils entering all English Baccalaureate subject areas in 2018
1794,KS4_19,PTEBACC_94_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,14%,8%,,29%,15%,6%,11%,,,24%,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2018
1795,KS4_19,PTEBACC_95_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,8%,5%,,17%,8%,4%,4%,,,17%,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2018
1796,KS4_19,PBEBACC_E_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,12%,8%,,42%,31%,16%,27%,,,34%,Percentage of boys with entries in all English Baccalaureate subject areas
1797,KS4_19,PBEBACC_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,6%,4%,,24%,26%,9%,8%,,,20%,% of KS4 boys achieving the Ebacc - with 9-4 passes
1798,KS4_19,PBEBACC_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,5%,2%,,13%,9%,6%,1%,,,13%,% of KS4 boys achieving the Ebacc - with 9-5 passes
1799,KS4_19,PGEBACC_E_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,NE,9%,,67%,29%,30%,39%,,,46%,Percentage of girls with entries in all English Baccalaureate subject areas
1800,KS4_19,PGEBACC_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,NE,5%,,37%,13%,18%,28%,,,30%,% of KS4 girls achieving the Ebacc - with 9-4 passes
1801,KS4_19,PGEBACC_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,NE,4%,,24%,8%,9%,15%,,,21%,% of KS4 girls achieving the Ebacc - with 9-5 passes
1802,KS4_19,PTEBACC_ENMOB_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,11%,9%,,56%,30%,23%,34%,,,41%,Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas
1803,KS4_19,PTEBACCNMOB_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,6%,5%,,31%,19%,14%,19%,,,26%,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-4 passes
1804,KS4_19,PTEBACCNMOB_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,5%,3%,,19%,9%,8%,8%,,,18%,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-5 passes
1805,KS4_19,PTEBACC_EEAL_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,10%,15%,,59%,41%,28%,43%,,,49%,Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas
1806,KS4_19,PTEBACCEAL_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,4%,3%,,34%,32%,18%,25%,,,29%,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-4 passes
1807,KS4_19,PTEBACCEAL_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,4%,3%,,19%,14%,9%,12%,,,20%,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-5 passes
1808,KS4_19,PTEBACC_EFSM6CLA1A_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,SUPP,4%,,47%,24%,10%,NA,,,25%,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2017
1809,KS4_19,PTEBACC_94_FSM6CLA1A_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,SUPP,3%,,15%,14%,4%,NA,,,12%,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-4 in 2017
1810,KS4_19,PTEBACC_95_FSM6CLA1A_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,NA,NA,NA,NA,,,NA,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-5 in 2017
1811,KS4_19,PTEBACC_ENFSM6CLA1A_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,SUPP,17%,,66%,34%,12%,NA,,,43%,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2017
1812,KS4_19,PTEBACC_94_NFSM6CLA1A_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,SUPP,3%,,14%,11%,3%,NA,,,10%,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-4 in 2017
1813,KS4_19,PTEBACC_95_NFSM6CLA1A_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,NA,NA,NA,NA,,,NA,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-5 in 2017
1814,KS4_19,PTEBACC_EFSM6CLA1A_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,23%,7%,,47%,36%,6%,19%,,,26%,% of disadvantaged pupils entering all English Baccalaureate subject areas in 2018
1815,KS4_19,PTEBACC_94_FSM6CLA1A_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,14%,5%,,24%,10%,2%,10%,,,12%,% of disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018
1816,KS4_19,PTEBACC_95_FSM6CLA1A_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,9%,5%,,14%,5%,1%,2%,,,7%,% of disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018
1817,KS4_19,PTEBACC_ENFSM6CLA1A_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,24%,14%,,67%,41%,16%,36%,,,43%,% of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2018
1818,KS4_19,PTEBACC_94_NFSM6CLA1A_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,12%,11%,,33%,20%,10%,13%,,,29%,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018
1819,KS4_19,PTEBACC_95_NFSM6CLA1A_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,4%,6%,,19%,11%,7%,6%,,,20%,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018
1820,KS4_19,PT5EM_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37%,58%,54%,,57%,61%,39%,34%,,,60%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs
1821,KS4_19,PT5EM_94_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,61%,53%,,54%,62%,46%,0%,,,61%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs in 2017
1822,KS4_19,PT5EM_94_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,1%,0%,,1%,1%,0%,0%,,,1%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs
1823,KS4_19,PTANYQ_PTQ_EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,99%,98%,,100%,100%,96%,97%,,,98%,Percentage of pupils achieving any qualifications
1824,KS4_19,PTL2BASICS_94_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,63%,57%,,55%,65%,47%,NA,,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2017
1825,KS4_19,PTL2BASICS_95_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,48%,34%,,37%,42%,24%,NA,,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2017
1826,KS4_19,PTL2BASICS_94_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,54%,45%,,51%,55%,46%,28%,,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2018
1827,KS4_19,PTL2BASICS_95_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,33%,25%,,33%,32%,27%,12%,,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2018
1828,KS4_19,PTFSM6CLA1ABASICS_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,69%,42%,,48%,67%,35%,29%,,,45%,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1829,KS4_19,PTNOTFSM6CLA1ABASICS_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,74%,66%,,67%,67%,47%,49%,,,72%,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1830,KS4_19,TBASICSLO_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,,6,3,4,3,,,5021,Number of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1831,KS4_19,PTBASICSLO_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,25%,15%,,17%,18%,11%,8%,,,8%,% of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1832,KS4_19,TBASICSAV_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34,36,,46,24,44,23,,,122104,Number of pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1833,KS4_19,PTBASICSAV_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%,72%,45%,,57%,55%,32%,30%,,,53%,% pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1834,KS4_19,TBASICSHI_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,35,47,,41,36,53,33,,,207459,Number of pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1835,KS4_19,PTBASICSHI_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84%,90%,90%,,95%,97%,77%,81%,,,93%,% pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1836,KS4_19,PBL2BASICS_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37%,71%,51%,,54%,69%,40%,37%,,,61%,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs 
1837,KS4_19,PGL2BASICS_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,NE,64%,,65%,65%,43%,42%,,,68%,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs 
1838,KS4_19,PTL2BASICSEAL_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,70%,76%,,63%,77%,49%,47%,,,64%,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language
1839,KS4_19,PTL2BASICSNMOB_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,70%,58%,,59%,66%,43%,40%,,,66%,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs
1840,KS4_19,PTFSM6CLA1ABASICS_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,34%,26%,,31%,52%,14%,18%,,,25%,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1841,KS4_19,PTNOTFSM6CLA1ABASICS_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,37%,41%,,41%,50%,30%,19%,,,50%,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1842,KS4_19,TBASICSLO_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,1,1,2,1,,,1151,Number of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1843,KS4_19,PTBASICSLO_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,6%,5%,,3%,6%,6%,3%,,,2%,% of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1844,KS4_19,TBASICSAV_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,17,,24,13,16,8,,,51234,Number of pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1845,KS4_19,PTBASICSAV_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,23%,21%,,30%,30%,12%,10%,,,22%,% pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1846,KS4_19,TBASICSHI_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23,37,,35,33,40,20,,,171126,Number of pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1847,KS4_19,PTBASICSHI_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,59%,71%,,81%,89%,58%,49%,,,77%,% pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1848,KS4_19,PBL2BASICS_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,35%,37%,,31%,53%,21%,14%,,,40%,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs 
